,bin,camis,boro,zipcode,cuisine_description,inspection_date_Ymd,inspection_year,inspection_date_Ymd_next,days_next_inspection,flag_restaurant_one_year,latitude,longitude
0,1005982.0,50104748,Manhattan,10009.0,Hamburgers,2021-11-10,2021,2021-11-10,0,1,40.730496344655,-73.983168139519
1,1005887.0,50101123,Manhattan,10009.0,Korean,2021-11-09,2021,2021-11-09,0,1,40.727318111673,-73.984633770288
2,1069590.0,50061569,Manhattan,10019.0,American,2017-04-24,2017,2017-04-24,0,1,40.763238197802,-73.980582367161
3,1064818.0,50090999,Manhattan,10040.0,Tex-Mex,2019-05-30,2019,2020-02-14,260,0,40.864003194585,-73.926278630302
4,1028585.0,50076936,Manhattan,10023.0,Pizza,2018-06-13,2018,2018-06-13,0,1,40.776407179167,-73.978567400801
5,1026629.0,50084280,Manhattan,10019.0,American,2018-12-20,2018,2018-12-20,0,1,40.76355514208,-73.991094343049
6,1019587.0,50108773,Manhattan,10003.0,Indian,2022-02-17,2022,2022-02-17,0,1,40.734923634831,-73.9830623745
7,1089384.0,50084908,Manhattan,10038.0,Coffee/Tea,2018-11-13,2018,2020-01-17,430,1,40.710526270262,-74.009353030615
8,1033685.0,50090708,Manhattan,10025.0,Chicken,2019-11-26,2019,2019-11-26,0,1,40.793818565121,-73.972378781085
9,1076149.0,50059249,Manhattan,10010.0,American,2017-03-02,2017,2017-03-02,0,1,40.737045534638,-73.984454703186
10,1049224.0,50089337,Manhattan,10128.0,American,2019-05-24,2019,2019-05-24,0,1,40.783229019988,-73.947835716417
11,1008952.0,50085344,Manhattan,10003.0,Frozen Desserts,2018-12-07,2018,2021-11-22,1081,1,40.730834863461,-73.991401816101
12,1002360.0,50093896,Manhattan,10013.0,Chinese,2019-09-04,2019,2019-09-04,0,1,40.718181811483,-74.00021283935
13,1046255.0,50086459,Manhattan,10021.0,Soups/Salads/Sandwiches,2019-03-21,2019,2019-03-21,0,1,40.765819120017,-73.954481043685
14,1043058.0,50088359,Manhattan,10021.0,American,2019-05-10,2019,2019-05-10,0,1,40.771552703155,-73.961387318047
15,1089443.0,50047766,Manhattan,10003.0,Coffee/Tea,2016-06-03,2016,2017-11-27,542,1,40.730176045337,-73.990460187741
16,1043795.0,50108174,Manhattan,10065.0,Pizza,2021-09-21,2021,2021-09-21,0,1,40.762075677231,-73.963277166387
17,1052961.0,50103154,Manhattan,10035.0,American,2022-01-12,2022,2022-01-12,0,1,40.796240965995,-73.935245951763
18,1025252.0,50100207,Manhattan,10019.0,Chinese,2020-01-09,2020,2022-03-08,789,1,40.765204425081,-73.987675448447
19,1006258.0,50088848,Manhattan,10003.0,Chinese,2019-04-11,2019,2019-04-11,0,1,40.72657198679,-73.988487182956
20,1015862.0,50107677,Manhattan,10118.0,Coffee/Tea,2021-08-27,2021,2022-02-03,160,0,40.748268900702,-73.984690273581
21,1006968.0,50094533,Manhattan,10013.0,Italian,2019-08-20,2019,2019-08-20,0,1,40.719828635939,-73.997110363591
22,1009762.0,50097492,Manhattan,10014.0,Other,2020-01-07,2020,2020-01-07,0,1,40.730140659856,-74.004795160255
23,1032489.0,50071274,Manhattan,10024.0,Italian,2018-06-27,2018,2018-06-27,0,1,40.790376803855,-73.973033873155
24,1008689.0,50089144,Manhattan,10012.0,Turkish,2019-03-04,2019,2019-03-04,0,1,40.729383200553,-74.000988607161
25,1063384.0,50088348,Manhattan,10032.0,Coffee/Tea,2019-02-28,2019,2019-02-28,0,1,40.841287660475,-73.940247287118
26,1000000.0,50107500,Manhattan,10018.0,New American,2021-12-14,2021,2021-12-14,0,1,40.756122540865,-73.994318632391
27,1005784.0,50099285,Manhattan,10009.0,Frozen Desserts,2019-12-04,2019,2019-12-04,0,1,40.726500172357,-73.984641175415
28,1089308.0,50062984,Manhattan,10007.0,Coffee/Tea,2017-05-23,2017,2017-05-23,0,1,40.711807996257,-74.010301878549
29,1013845.0,50108675,Manhattan,10011.0,Pizza,2021-12-28,2021,2021-12-28,0,1,40.741847174733,-74.000981575352
30,1007195.0,50075962,Manhattan,10012.0,Pizza,2018-06-06,2018,2018-06-06,0,1,40.721596271652,-73.99733756748
31,1003811.0,50063644,Manhattan,10002.0,Bakery Products/Desserts,2017-08-14,2017,2017-08-14,0,1,40.715647965316,-73.990123188105
32,1001631.0,50091057,Manhattan,10007.0,Coffee/Tea,2019-09-12,2019,2019-09-12,0,1,40.715143091215,-74.007752047973
33,1015429.0,50100199,Manhattan,10011.0,Pizza,2019-12-04,2019,2019-12-04,0,1,40.738794758453,-73.992519440703
34,1082053.0,50104366,Manhattan,10034.0,Latin American,2021-12-14,2021,2021-12-14,0,1,40.867046205524,-73.920808525086
35,1081680.0,50107282,Manhattan,10016.0,Mexican,2021-12-20,2021,2021-12-20,0,1,40.743677641619,-73.973594172604
36,1010648.0,50075745,Manhattan,10011.0,Frozen Desserts,2018-05-19,2018,2018-05-19,0,1,40.737156339061,-73.99699413793
37,1082053.0,50084143,Manhattan,10034.0,Spanish,2019-06-14,2019,2019-06-14,0,1,40.866930877166,-73.920736351987
38,1030909.0,50068743,Manhattan,10024.0,Chinese,2017-09-26,2017,2017-09-26,0,1,40.782566441625,-73.97875679084
39,1078500.0,50115103,Manhattan,10128.0,Japanese,2022-01-20,2022,2022-01-20,0,1,40.785200291937,-73.955648569703
40,1006477.0,50064456,Manhattan,10003.0,Italian,2017-07-24,2017,2017-07-24,0,1,40.730839761838,-73.985524164309
41,,50081660,Manhattan,11371.0,American,2018-12-13,2018,2019-06-26,195,0,,
42,,50088808,Manhattan,10002.0,Japanese,2019-06-18,2019,2021-09-08,813,1,40.71933362663,-73.984949471573
43,1003105.0,50085595,Manhattan,10013.0,Coffee/Tea,2018-12-18,2018,2018-12-18,0,1,40.718802053007,-73.99581893032
44,1017853.0,50065026,Manhattan,10003.0,American,2017-06-28,2017,2017-06-28,0,1,40.73562403867,-73.986782450632
45,1007158.0,50084739,Manhattan,10012.0,Asian/Asian Fusion,2018-11-14,2018,2018-11-14,0,1,40.721055501697,-73.995670876691
46,1015683.0,50118223,Manhattan,10001.0,Vegetarian,2022-03-10,2022,2022-03-10,0,1,40.74471218949,-73.989061458322
