flag_restaurant_one_year,bin,camis,latitude,longitude,open_year,close_year,years_open,food_100,food_400,food_800,food_1000,bus_100,bus_400,bus_1000,train_100,train_400,train_1000,office_area,retail_area,residential_area,street_width_min,street_width_max,posted_speed,dist_station,dist_park,dist_school,office_450,retail_450,residential_450,ridership_morning_mean,ridership_midday_mean,ridership_evening_mean,ridership_night_mean,ridership_late_night_mean,idw_aadt_mean,idw_atvc_mean
1,1027089,40605319,40.7615326,-73.99999639,2019,2021,2,2,28,236,526,1,1,16,0,0,2,0,1974,5922,66,70,25,2187.076991,1702.913643,1083.954988,365846,139219,3079279,134.3671969,521.8375818,770.6263232,293.7208633,57.42065152,15881.06837,197.8307733
1,1043222,50075330,40.77391259,-73.95964208,2018,2020,2,14,117,404,559,0,7,42,1,1,5,0,1600,1700,50,52,25,115.4575233,537.6318747,921.0163629,72942,175680,2276727,301.4577082,670.8546017,729.25556,222.6850294,32.6170628,12804.26347,181.8941645
0,1051795,50101981,40.78807093,-73.94820748,2020,2020,0,13,60,200,308,2,11,38,0,2,4,0,4000,20170,32,34,25,824.224635,68.23083909,986.1247563,8418,45785,1009688,217.2808393,324.908426,253.1805244,70.12871337,27.51702378,12488.0586,182.1783769
0,1085022,50072108,40.76106822,-73.98908042,2018,2019,1,33,347,1099,1620,0,2,30,0,1,13,0,1400,20928,32,32,25,1155.596018,93.50972725,339.8926098,166189,160013,1313437,208.5400605,486.8384249,474.2337006,317.0416878,78.32521528,10154.07844,202.434483
1,1005436,50057161,40.71804696,-73.9909814,2019,2021,2,37,322,968,1196,1,5,42,0,4,14,0,3600,15602,30,30,25,665.7934006,57.73126321,509.3346736,124845,279197,863038,204.0815819,653.4519612,672.1354071,275.7179925,58.46096044,9556.67014,193.7583919
1,1045919,50076098,40.76994995,-73.95441683,2018,2020,2,18,137,404,524,0,15,52,0,1,4,0,1320,7650,70,70,25,1217.275988,1030.576982,257.0761167,85932,91503,1830228,369.457623,626.3120037,813.7299029,235.603658,32.44325607,16036.62287,187.5282032
1,1001263,41671873,40.70974145,-74.00679196,2018,2020,2,19,188,591,808,0,6,23,3,7,20,0,23799,152715,18,18,25,51.84547088,365.4843584,536.4437708,2079359,319662,2327961,848.854941,1610.1634,2221.022617,631.0666442,132.2419319,7267.490255,207.7772503
1,1008838,50060028,40.73003357,-73.99417293,2017,2019,2,20,152,1058,1624,0,0,27,0,2,18,4150,8304,66356,24,26,25,332.508208,452.2037892,489.7439078,1568522,242625,1993100,137.999518,350.6251366,428.4356004,255.5560835,62.84269339,6594.084932,195.3995133
0,1008973,50053197,40.73102129,-73.98884362,2018,2019,1,15,264,952,1334,0,8,38,0,3,13,0,2704,2600,70,70,25,625.6063854,460.0543865,994.0294403,309977,190308,1854099,179.6869401,339.2407457,374.9209186,259.3593844,69.26781827,10051.45341,193.3572125
0,1010085,50113482,40.73040972,-74.00251125,2021,2021,0,27,388,777,1074,0,6,18,0,4,13,0,1875,0,24,25,25,811.6203192,51.76304429,1145.330627,23717,194453,1292431,299.0845139,787.354402,996.3576792,802.5665785,231.8887899,7355.669672,183.9961822
