height,mpluto_bbl,cnstrct_yr,globalid,bin,shape_len,shape_area,office_area,retail_area,residential_area,OBJECTID,street_width_min,street_width_max,posted_speed,betweeness,station_complex_id,ridership_evening,ridership_late_night,ridership_midday,ridership_morning,ridership_night,distance_from_station(ft),idw_aadt_2019,idw_aadt_2020,idw_aadt_2021,idw_atvc_2018,idw_atvc_2019,idw_atvc_2020,idw_aadt_mean,idw_atvc_mean,office_within_450ft,retail_within_450ft,residential_within_450ft,distance_to_park,distance_to_school,food_100,food_400,food_800,food_1000
55.89,1006100054,1890,{3AEADBE0-CC54-4D24-B238-035EACC2FCA7},1010689,0.0,636520502.758,0,1050,8294,104502,24.0,25.0,25,0.033791312972200345,167,1039.1933462465715,246.5333768146168,817.8908353942295,318.0253074199023,843.7340479378781,748.2566198714759,7193.081668802337,7412.369895058218,8350.144641701505,123.35033421770845,147.05896153103404,304.0253859868956,7651.865401854021,191.4782272452127,2120,52008,312275,74.86270421618018,425.27187602067005,10,99,364,487
43.48,1014390003,1920,{16E3A900-8D55-4377-ABC9-3CFEAD5AABEA},1044690,,636520502.758,0,2175,6525,99738,60.0,60.0,25,0.033479342229393846,223,464.18848459393655,32.42863110896195,391.0787287584442,172.85607691959916,159.3045939457075,1264.0666741627595,12988.853950015655,12048.318975253054,13486.71860529155,151.54003772666266,189.1121861511612,239.7137912930312,12841.297176853419,193.455338390285,9539,49216,1197236,787.9924260361925,609.6594061709975,2,41,140,234
164.86,1011480001,1925,{A569DF64-C060-4E22-A45B-C3AAF3994CF0},1030169,0.0,636520502.758,0,5000,118840,94940,40.0,42.0,25,0.005477041829842783,312,374.1096997664439,25.401807558688436,389.7970366394096,207.30240712257626,141.15419103272282,920.8803258770297,13677.79284968311,13732.269067473368,15411.109097134598,126.41687496991361,155.39902516278613,245.75626344134685,14273.723671430358,175.85738785801553,2205,52578,438942,162.86277595826783,338.72496273333553,5,61,120,137
57.41,1019660033,1901,{FF1D608A-A8F9-4BED-8330-01D6E785BBDE},1084099,0.0,636520502.758,0,3500,15130,97885,30.0,35.0,25,0.020543270543270542,306,212.83788844536357,22.96478552890574,228.6874831854267,124.35593952370462,87.60953437246013,987.4805258291806,11736.070949473444,12900.752000512839,14449.074277683108,100.98860728625893,140.35527079527597,284.40571559657366,13028.63240922313,175.2498645593695,35299,23925,795466,244.29230228201416,609.8632671892415,5,21,55,69
80.0,1019880018,2017,{F3EEBE92-794C-4F0B-914A-86A784D1532B},1089415,0.0,636520502.758,2962,0,16905,107246,50.0,52.0,25,0.06693056693056693,305,210.03346237782375,44.35678547509575,343.0212962407318,269.63128233974754,71.34402693357264,1085.3274567719372,12835.701326834162,14143.073154760572,15793.074614211031,88.85790979090433,146.77703431630312,285.662060711536,14257.283031935256,173.7656682729145,2962,23684,68622,431.17222248902374,558.5709958927883,0,11,40,69
265.38,1005980058,1931,{CE6E9329-9A46-4AD7-9FD6-69E6770CF846},1010378,0.0,636520502.758,750567,46910,0,97367,34.0,35.0,25,0.007812581164614826,324,366.79805318167746,41.008371913498465,278.20141967776755,87.97042721034157,152.0052292524532,567.91146753625,8380.04816649702,8518.078247355748,9512.41692648832,141.54227703651614,166.081512380348,318.6881039580368,8803.514446780364,208.77063112496697,1219791,64641,241105,339.44185754772315,518.5753395695924,3,53,261,327
50.21,1004350008,1900,{8D1D10F3-E326-4F78-AACA-2A0644AD6C2C},1005819,0.0,636520502.758,0,1000,4745,102830,,,20,0.001627138834741174,119,573.6970610200848,86.05892825189177,575.9585587416376,354.75052665599355,336.01256560402453,1626.6392735568418,8902.590581841208,9175.805424977245,10257.228258533689,120.41543773734232,134.8531633021432,326.09917779942333,9445.208088450714,193.78925961296963,5031,51882,205296,644.1767553205281,873.835460504525,33,168,364,491
38.87,1011430049,1920,{FB5D1AF0-B0B9-4AB9-BB11-0B0D56343871},1081486,0.0,636520502.758,0,2896,3660,117211,30.0,30.0,25,0.02981868179083956,313,918.8497397863018,59.75954586598723,936.7844815735834,518.0944380100332,440.48933932899587,364.8188792587416,12378.594278062996,12613.590551762607,14144.491440335554,118.06586192936724,162.55645362173024,235.96925063516318,13045.558756720386,172.19718872875356,1350,54785,374683,312.93405529704836,979.1969495994043,13,58,100,125
57.19,1007920062,1915,{CA4DE60E-3BE7-4DA1-8455-794C85C02116},1014593,0.0,636520502.758,0,3800,4875,97449,32.0,34.0,25,0.005593226832164885,321,223.0478670066751,27.79501965499961,192.41168980883822,81.12769867905025,97.74267113587717,356.0163710668534,8430.519713937014,8000.651227984507,8936.223786888475,142.40118035676215,144.2316644135286,291.13279594635856,8455.798242936666,192.58854690554975,40202,43313,184383,640.7741426233097,642.4109428853977,0,65,272,445
72.28,1020140064,1915,{7A8EF026-5F74-4A28-85B8-90FA4CA956BD},1060194,0.0,636520502.758,0,1200,14230,108528,44.0,45.0,25,0.07899579846522449,437,42.224647848428326,13.437931338470088,75.70010334993492,81.81770356082475,14.93773888577331,753.3934420923653,13670.957339648614,15527.151113281052,17505.868605964744,106.71510828881686,154.6583494436866,262.9592111058038,15567.992352964802,174.77755627943574,11400,79220,141474,68.67611323234294,730.0464681608199,1,5,17,36
