name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
Ellis Island Cafe,ChIJiyW9XVFRwokRwyVIuyuQH7g,,2.7,176,OPERATIONAL,,"Ellis Island, New York, NY 10004",40.6988564,-74.039125,1085964,0.0
O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4718,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642,1001038,0.0
DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,552,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999,1000880,0.0
Trinity Place,ChIJ4_AAQhdawokRzbYlVLyzKlk,2.0,4.4,1332,OPERATIONAL,,"115 Broadway, New York, NY 10006",40.708882,-74.01143259999999,1001030,0.0
Schilling Restaurant & Bar,ChIJZXs66hBawokRizEXnDJplPw,3.0,4.4,509,OPERATIONAL,,"109 Washington St, New York, NY 10006",40.7085845,-74.01401659999999,1001047,0.0
Inatteso Pizzabar,ChIJb1ng8xFawokRLcG2ng6A3Uk,2.0,4.4,578,OPERATIONAL,,"28 Little W St, New York, NY 10004",40.7060556,-74.0172087,1087238,0.0
El Vez and Burrito Bar,ChIJUSnLnRtawokRvxs34iq8GpQ,2.0,4.3,2512,OPERATIONAL,,"259 Vesey St, New York, NY 10282",40.7146485,-74.01543180000002,1085867,0.0
Joseph's Restaurant,ChIJST0cgRZawokRNvJv5mhG57E,3.0,4.5,294,OPERATIONAL,,"3 Hanover Square, New York, NY 10004",40.7048499,-74.0095927,1000831,0.0
Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,735,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878,1001093,0.0
El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,305,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895,1078979,0.0
Tacombi,ChIJCxsgff1bwokRt-khy5Okqpg,2.0,4.4,818,OPERATIONAL,,"74 Broad St, New York, NY 10004",40.70468779999999,-74.01166719999999,1000037,0.0
Morton's The Steakhouse,ChIJt7rGmBBawokR6QNt2e9e1kY,4.0,4.4,735,OPERATIONAL,,"136 Washington St, New York, NY 10006",40.7097005,-74.0139538,1001063,0.0
Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,270,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551,1001569,0.0
Aroy Dee Thai Kitchen,ChIJv-EALxhawokR9oeGPdShFLo,1.0,4.2,544,OPERATIONAL,,"20 John St, New York, NY 10038",40.7097921,-74.0089345,1001104,2.250847551006794
Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1263,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406,1079138,0.0
Serafina Italian Restaurant Tribeca,ChIJ-0VhGB9awokRksxfZJBvigE,2.0,4.3,1067,OPERATIONAL,,"95 W Broadway, New York, NY 10007",40.7156249,-74.0089397,1001584,0.0
Battery Gardens,ChIJTc4_WBJawokRzxgAciUDTwQ,3.0,4.1,339,OPERATIONAL,,"1 Battery Pl, New York, NY 10004",40.7015278,-74.01509999999999,1088311,0.0
ZAZA,ChIJRVYm7f1ZwokR2DcmGOSHUFc,2.0,4.5,980,OPERATIONAL,,"104 Greenwich St, New York, NY 10006",40.7084781,-74.01352500000002,1001054,4.962455547587668
Blarney Stone,ChIJWUf6PBFawokRifmCHSgp17w,2.0,4.0,309,OPERATIONAL,,"11 Trinity Pl, New York, NY 10006",40.7063523,-74.01380859999999,1000802,1.394369355673102
Statue of Liberty Crown Cafe,ChIJOw_d1I5QwokRlC7hA3MBvFs,2.0,4.1,2015,OPERATIONAL,,"Liberty Island, Manhattan, NY 10004",40.6899925,-74.04629349999999,1087230,8.282653217764759
The Irish American Pub,ChIJ4ayAJRhawokRjzLOsdPWMCs,2.0,4.4,2019,OPERATIONAL,,"17 John St, New York, NY 10038",40.70986449999999,-74.00874859999999,1001216,0.0
Lindens,ChIJh-oPySxZwokRBTfrxwTdRo4,2.0,4.8,350,OPERATIONAL,,"2 Renwick St, New York, NY 10013",40.7245348,-74.0084684,1088827,0.0
The Tuck Room,ChIJ7epq4zxawokRADBrW_zuoMg,,4.0,449,OPERATIONAL,,"11 Fulton St, New York, NY 10038",40.7066295,-74.0031405,1001318,0.0
WTC Halal Food,ChIJR_LxwmdbwokRC53Edw5fM1U,1.0,4.3,3,OPERATIONAL,,"10 West St, New York, NY 10004",40.7055594,-74.0176613,1085789,0.0
NOMO Kitchen,ChIJDVWAj4lZwokRiQQKeBiTHcI,3.0,3.9,1082,OPERATIONAL,,"9 Crosby St, New York, NY 10013",40.7197214,-73.9999421,1088790,0.0
