bin,latitude,longitude
1027089,40.7615326,-73.99999639
1043222,40.77391259,-73.95964208
1051795,40.78807093,-73.94820748
1085022,40.76106822,-73.98908042
1005436,40.71804696,-73.9909814
1045919,40.76994995,-73.95441683
1001263,40.70974145,-74.00679196
1008838,40.73003357,-73.99417293
1008973,40.73102129,-73.98884362
1010085,40.73040972,-74.00251125
1048566,40.77474763,-73.95403082
1057397,40.80250947,-73.95083299
1007882,40.72243052,-73.99344124
1028539,40.7756414,-73.97862542
1034495,40.75800382,-73.97985837
1080114,40.73274277,-73.9975464
1083606,40.75548029,-73.99476626
1085128,40.76570617,-73.96987429
1036181,40.75304833,-73.97392611
1055509,40.79845469,-73.96341955
1029894,40.77793079,-73.98006535
1036185,40.75450075,-73.97595043
1053439,40.80691266,-73.94609764
1007044,40.7213822,-74.00171001
1009562,40.73552048,-73.99816333
1079184,40.75157997,-74.00559436
1015429,40.73879476,-73.99251944
1015618,40.74324649,-73.98912305
1034224,40.75575595,-73.98034994
1087101,40.76068395,-73.97261999
1006168,40.72603411,-73.98952274
1024993,40.75934449,-73.98886412
1025215,40.76426564,-73.98695002
1061939,40.82540763,-73.94800848
1000005,40.70253319,-74.01256178
1009294,40.73437028,-73.99390193
1015370,40.73880865,-73.99576715
1085030,40.75919656,-73.9923511
1003610,40.71441571,-73.99199914
1014342,40.74943622,-73.99284306
1018071,40.74043255,-73.98430235
1035250,40.76451354,-73.97552804
1036177,40.75237868,-73.97424039
1036185,40.75450075,-73.97595043
1039780,40.75626629,-73.96749269
1050748,40.78024779,-73.94689925
1006678,40.72842738,-73.98780134
1010179,40.7325561,-74.00338452
1014421,40.7529358,-73.99290405
1018056,40.73986441,-73.98449013
1024787,40.76120231,-73.985467
1036179,40.75248549,-73.97320447
1002692,40.71871429,-74.00092351
1010349,40.72571583,-74.00914952
1015920,40.75072563,-73.98599985
1085066,40.7853539,-73.97298175
1011109,40.73875109,-74.00019486
1036085,40.76341185,-73.97102329
1038559,40.75685356,-73.96709535
1048656,40.77543362,-73.95353209
1082667,40.71667876,-73.98046251
1003028,40.72030351,-74.0010967
1004040,40.71612824,-73.98946658
1079858,40.8292103,-73.94470638
1008707,40.72924048,-74.00006494
1032010,40.78471528,-73.97716723
1077759,40.72334734,-73.99475797
1083156,40.73315432,-73.99342936
1000005,40.70253319,-74.01256178
1000022,40.70350494,-74.0116062
1006415,40.72912426,-73.98530445
1064776,40.86534473,-73.92117934
1024892,40.7656484,-73.98247332
1026362,40.75937225,-73.99277702
1028438,40.77455472,-73.97994722
1036474,40.75845753,-73.97091355
1082164,40.80768549,-73.96411525
1000856,40.70346117,-74.01003009
1036511,40.75980496,-73.96995639
1045201,40.77183056,-73.95555281
1047691,40.77856921,-73.95627044
1069249,40.74282304,-73.9829124
1014453,40.75362185,-73.99095852
1015919,40.75140366,-73.98659885
1050444,40.774675,-73.95096554
1080224,40.7394481,-74.00597585
1080445,40.75373846,-73.96781877
1088921,40.72099238,-74.00415235
1015598,40.74262626,-73.99009391
1017006,40.74723422,-73.98541954
1014459,40.75298491,-73.98918642
1034846,40.76285578,-73.97584271
1078982,40.70739159,-74.01110552
1004233,40.71929246,-73.98497113
1009438,40.73264944,-73.99727939
1015678,40.74484948,-73.9896136
1015708,40.74560153,-73.98951604
1045225,40.77254971,-73.9556137
1052385,40.79033961,-73.94555496
1008007,40.7263722,-74.00037161
1025451,40.76643902,-73.98332508
1014292,40.74828615,-73.99260138
1036179,40.7524306,-73.9732442
1087286,40.81651677,-73.94662091
1014516,40.7379496,-73.99823543
1015898,40.74927887,-73.98395378
1050400,40.77412896,-73.9513631
1059309,40.81085707,-73.9527956
1034245,40.75584655,-73.98051595
1077817,40.73104634,-74.00670754
1090630,40.75159,-73.98421308
1025451,40.76643902,-73.98332508
1006754,40.72900112,-73.98860943
1036474,40.75845753,-73.97091355
1036474,40.75845753,-73.97091355
1061987,40.82688357,-73.9464066
1083732,40.76214128,-73.98769768
1015030,40.74619199,-73.99410655
1028816,40.77925798,-73.97374249
1034202,40.75552562,-73.98174688
1001685,40.71408935,-73.99871944
1034228,40.75559669,-73.9799746
1036177,40.75237868,-73.97424039
1063351,40.83631571,-73.94323683
1088910,40.74203859,-73.98711679
1044742,40.76422873,-73.95861553
1075481,40.81532499,-73.95856196
1000060,40.71452196,-74.0156771
1042479,40.76799085,-73.96395982
1064156,40.86264594,-73.92846741
1002395,40.71627144,-73.99810615
1010085,40.73046736,-74.00254733
1055941,40.79901449,-73.96303278
1069249,40.74282304,-73.9829124
1087618,40.70401811,-74.0126378
1057434,40.80301369,-73.94896518
1084667,40.76059821,-73.98361172
1085979,40.7518426,-73.98485548
1005837,40.72718907,-73.98437042
1008323,40.72890287,-74.00068913
1087769,40.74073489,-73.98769804
1006677,40.72849874,-73.98775082
1016981,40.7466716,-73.98583469
1079227,40.71499514,-73.99962845
1084667,40.76059821,-73.98361172
1034233,40.75581635,-73.98049069
1029648,40.77579261,-73.97998656
1005274,40.71797554,-73.990296
1008140,40.72765398,-74.00247506
1038770,40.75153508,-73.97028496
1006750,40.72885286,-73.98825948
1020359,40.74753684,-73.97388497
1025451,40.76643902,-73.98332508
1037545,40.7501885,-73.97485119
1064915,40.86720383,-73.92253296
1007896,40.72375077,-73.99374056
1025076,40.76134282,-73.99048819
1036185,40.75450075,-73.97595043
1040809,40.76540201,-73.97186355
1007285,40.72367957,-74.00151886
1008952,40.73083486,-73.99140182
1018056,40.73986441,-73.98449013
1024736,40.75987138,-73.98784971
1052472,40.79366635,-73.94022519
1011422,40.73780126,-74.00565815
1015856,40.74863426,-73.98714799
1010006,40.73221019,-74.00531489
1001823,40.71405916,-73.99873747
1025014,40.76012948,-73.98875931
1058335,40.8151796,-73.94007934
1008281,40.72735482,-73.99956705
1009083,40.7327037,-73.98761653
1000005,40.70253319,-74.01256178
1013108,40.74251416,-74.00051966
1015987,40.75239717,-73.98586596
1033560,40.79126638,-73.97423612
1039940,40.75761094,-73.96651383
1002825,40.72236991,-74.00973711
1009567,40.73485623,-73.99700146
1026950,40.76327272,-73.99651645
1015261,40.75257027,-73.98737822
1017905,40.7373533,-73.98729812
1024858,40.76448449,-73.98165055
1035251,40.76504587,-73.97479502
1062300,40.82230567,-73.95347033
1078808,40.73413272,-73.98039964
1003804,40.7145721,-73.99119109
1036185,40.75450075,-73.97595043
1043192,40.77383302,-73.95972517
1015224,40.7511157,-73.98884385
1016959,40.74512063,-73.98449612
1031442,40.78729135,-73.97156898
1087361,40.7225018,-73.99204867
1002692,40.71871429,-74.00092351
1003625,40.71407244,-73.9898132
1076178,40.7645638,-73.97989248
1001263,40.70985676,-74.00614993
1013729,40.73878402,-74.00022373
1015454,40.7389182,-73.99150542
1036185,40.75450075,-73.97595043
1088996,40.74620849,-74.0052294
1090387,40.74625217,-73.99101727
1000060,40.71452196,-74.0156771
1002925,40.72372859,-74.00949199
1014075,40.74298071,-73.99646338
1076178,40.7645638,-73.97989248
1001112,40.70764987,-74.00775839
1026848,40.76705699,-73.98634298
1036460,40.75816441,-73.97324549
1036474,40.75814176,-73.97043361
1008982,40.7314165,-73.9885549
1016966,40.74469774,-73.98308153
1088910,40.74203859,-73.98711679
1010523,40.73559461,-74.00051961
1034202,40.75564391,-73.98351549
1086553,40.72541976,-73.99900063
1088297,40.76608029,-73.99077993
1035320,40.75188563,-73.97921416
1036185,40.75450075,-73.97595043
1036474,40.75845753,-73.97091355
1038232,40.75472994,-73.97011028
1057676,40.80659331,-73.9500461
1058372,40.80385297,-73.95401787
1077687,40.7255701,-73.98798947
1005115,40.72527035,-73.98347252
1053948,40.80158988,-73.94459577
1077153,40.71411955,-73.99874829
1002796,40.7209234,-74.0100219
1085497,40.74349926,-73.97372416
1006754,40.72900112,-73.98860943
1013540,40.75097071,-73.99649183
1059700,40.81369368,-73.95604496
1064054,40.85692287,-73.93250793
1015926,40.75046755,-73.98538634
1030136,40.77951133,-73.97771064
1064054,40.85692287,-73.93250793
1088910,40.74161044,-73.98744887
1002854,40.72260062,-74.00783229
1026514,40.7623585,-73.99213414
1011109,40.73875109,-74.00019486
1061376,40.82598907,-73.94703966
1077799,40.72831823,-73.9994588
1083597,40.74744649,-74.00061354
1002803,40.72106625,-74.0083985
1019483,40.74897277,-73.9757828
1064466,40.85716983,-73.93239923
1015037,40.7452175,-73.99239601
1076178,40.76461059,-73.98067943
1012064,40.73753496,-74.00674428
1024910,40.76769316,-73.98195653
1032645,40.78426012,-73.97967706
1039997,40.7592574,-73.9651702
1055046,40.80167468,-73.94994506
1090311,40.72816417,-73.99089704
1036168,40.7523375,-73.97418265
1036511,40.75972271,-73.97030296
1063020,40.84125068,-73.93779331
1079231,40.7605032,-73.99484528
1010086,40.73140884,-74.00117626
1011176,40.73322026,-74.00539435
1017884,40.73613162,-73.98511887
1011923,40.73629971,-74.00829218
1017885,40.73618376,-73.98508277
1024845,40.76429807,-73.98309459
1000794,40.70812685,-74.01412823
1007347,40.72461822,-74.0038892
1064279,40.85036795,-73.93645095
1083796,40.76367619,-73.99622041
1008244,40.7280218,-74.00106796
1024781,40.76097992,-73.98498695
1084667,40.76059821,-73.98361172
1006754,40.72900112,-73.98860943
1009949,40.73177385,-74.00333036
1018010,40.73967805,-73.9867203
1078233,40.73282214,-74.00769277
1015258,40.75213645,-73.98608618
1026848,40.76705699,-73.98634298
1036185,40.75450075,-73.97595043
1036215,40.75438486,-73.97317483
1006234,40.72706597,-73.98777994
1036185,40.75450075,-73.97595043
1002692,40.71871429,-74.00092351
1064466,40.85733721,-73.93231229
1006695,40.728584,-73.98953677
1029665,40.77621256,-73.98002254
1044031,40.77055758,-73.95709165
1057790,40.80728612,-73.94645495
1080862,40.76299169,-73.98392158
1004589,40.72241026,-73.98314133
1016294,40.7406992,-73.98761504
1036185,40.75450075,-73.97595043
1080258,40.73937942,-74.0070079
1082805,40.762484,-73.98461841
1083732,40.76200126,-73.98736199
1036458,40.75690977,-73.97204402
1026683,40.76366479,-73.98936879
1033560,40.79116758,-73.97430838
1036185,40.75450075,-73.97595043
1080461,40.77384275,-73.95629161
1082390,40.78996695,-73.94688424
1005625,40.72232322,-73.9898408
1013219,40.74292313,-74.00022014
1079333,40.77950576,-73.97727013
1079782,40.72866048,-73.98604059
1001798,40.71520645,-73.99733782
1004321,40.71974837,-73.98726181
1005099,40.72469365,-73.98149559
1021921,40.7476027,-73.97381637
1029919,40.77819164,-73.98063215
1037551,40.75028147,-73.97328837
1047034,40.78447862,-73.9561546
1054755,40.79817795,-73.93382101
1076982,40.7342989,-73.99368183
1079233,40.76055538,-73.99558167
1080750,40.73789429,-73.99010905
1043999,40.76992371,-73.95755417
1090481,40.7216892,-74.00987771
1006678,40.72842738,-73.98780134
1015097,40.74762195,-73.9930598
1038566,40.75798745,-73.96816684
1078377,40.86624988,-73.92029969
1004589,40.72251174,-73.9826254
1004189,40.7178818,-73.98622322
1019468,40.74962909,-73.97737781
1035374,40.75397402,-73.97725361
1036474,40.75845753,-73.97091355
1005989,40.7302876,-73.9822373
1015802,40.74797571,-73.98908979
1086728,40.74340843,-73.98909415
1012860,40.75375114,-73.99604773
1036152,40.75159416,-73.97644956
1038770,40.75217451,-73.96990209
1040466,40.757728,-73.9633265
1078982,40.70739159,-74.01110552
1034495,40.75800382,-73.97985837
1037563,40.75093701,-73.97140048
1064814,40.86394474,-73.92501693
1088704,40.80970979,-73.96008991
1015881,40.74973198,-73.98561749
1082256,40.75452789,-73.99545574
1083760,40.75994312,-73.99218496
1019947,40.74328642,-73.97988449
1063468,40.84357016,-73.93813449
1015618,40.74324649,-73.98912305
1036185,40.75450075,-73.97595043
1064789,40.86491233,-73.91905759
1014718,40.74009319,-73.99556138
1011759,40.73426048,-74.00622074
1026711,40.76551765,-73.99116267
1027080,40.76958511,-73.98822339
1004299,40.71881239,-73.9871249
1015919,40.75145306,-73.98656274
1034202,40.75564391,-73.98351549
1065054,40.86674753,-73.93003935
1005887,40.72731811,-73.98463377
1018206,40.74277636,-73.98276084
1053850,40.81040337,-73.93935756
1090149,40.75531826,-73.99306622
1009762,40.73014066,-74.00479516
1018142,40.74088505,-73.98165708
1028540,40.77628934,-73.97959646
1087292,40.75849535,-73.9526271
1063020,40.84125068,-73.93779331
1037560,40.75109663,-73.97313646
1005346,40.72109071,-73.98869737
1012277,40.74305188,-74.007546
1025027,40.76050559,-73.98965085
1048536,40.7745583,-73.95417176
1012355,40.74799538,-74.00395193
1088322,40.71430892,-73.99792945
1002836,40.72221346,-74.0097407
1008952,40.73083486,-73.99140182
1015193,40.75058065,-73.9909048
1036177,40.75232083,-73.97332364
1043540,40.76187597,-73.96540346
1059855,40.81452923,-73.9591441
1064423,40.8523651,-73.9346272
1090311,40.72823004,-73.99085013
1004252,40.7204589,-73.98436479
1018071,40.74043255,-73.98430235
1001039,40.70949401,-74.01181284
1008252,40.72734384,-74.00073963
1008952,40.73083486,-73.99140182
1020104,40.74526513,-73.97844032
1038651,40.7496663,-73.97186661
1001236,40.71191509,-74.00974279
1035426,40.75708941,-73.9776893
1008678,40.72902364,-73.99917376
1013045,40.74174284,-74.00312516
1016143,40.73826219,-73.99126012
1010899,40.73537227,-74.0016346
1015728,40.74514305,-73.98838291
1018294,40.74431351,-73.98333786
1036185,40.75450075,-73.97595043
1000060,40.71452196,-74.0156771
1017599,40.75161138,-73.98046666
1024831,40.76285433,-73.98310939
1005294,40.71797549,-73.98973685
1008078,40.72658077,-74.00251832
1015033,40.74553868,-73.99315385
1017590,40.75110909,-73.98050651
1019947,40.74348127,-73.97974368
1038548,40.75742494,-73.96877713
1050202,40.78082814,-73.94957443
1013627,40.75513159,-73.9926692
1080224,40.7394481,-74.00597585
1081182,40.75612713,-73.97052835
1007076,40.72223031,-74.00275265
1036168,40.7523375,-73.97418265
1039780,40.75626629,-73.96749269
1043974,40.76925691,-73.95803476
1024872,40.76499795,-73.98282727
1010086,40.73140884,-74.00117626
1014138,40.74482796,-73.99741603
1020359,40.74768229,-73.97378386
1079782,40.72866048,-73.98604059
1090648,40.75516178,-73.99270168
1077641,40.72640407,-73.98441029
1083597,40.74735866,-74.0006785
1090481,40.7216892,-74.00987771
1019533,40.73469349,-73.98614035
1087616,40.76361583,-73.9970146
1004300,40.71890296,-73.98707799
1019490,40.74995293,-73.97713949
1024706,40.75709624,-73.98619342
1024820,40.76306307,-73.98409123
1043896,40.76683765,-73.96270775
1087260,40.74079584,-73.99542059
1006380,40.72802082,-73.98498358
1007724,40.72520016,-74.00233787
1008838,40.73003357,-73.99417293
1017599,40.75161138,-73.98046666
1041797,40.77425965,-73.96328486
1041931,40.76270774,-73.96574958
1077736,40.7228341,-74.00471887
1007493,40.72308938,-73.99580062
1006324,40.72815003,-73.98665405
1006754,40.72900112,-73.98860943
1019611,40.7370373,-73.98443666
1036152,40.75159416,-73.97644956
1036474,40.75845753,-73.97091355
1048566,40.77513512,-73.95522564
1000005,40.70253319,-74.01256178
1010601,40.73729636,-73.99886694
1017006,40.74723422,-73.98541954
1028692,40.77822383,-73.97663147
1004043,40.71585652,-73.9896037
1011158,40.73404374,-74.00424698
1012398,40.75074289,-74.0036417
1026454,40.76068961,-73.99099004
1024821,40.76310426,-73.9841923
1010267,40.7339999,-74.00005412
1036185,40.75450075,-73.97595043
1000884,40.70586303,-74.00761751
1043058,40.7715527,-73.96138732
1076247,40.78595889,-73.97838737
1080877,40.75883403,-73.98954643
1019481,40.74933806,-73.97693759
1024753,40.75996729,-73.98642746
1005793,40.72578915,-73.98373577
1006408,40.72934116,-73.98581674
1022562,40.75453271,-73.98680756
1076956,40.72709343,-73.98784849
1005536,40.72032771,-73.98918092
1088704,40.80970979,-73.96008991
1010363,40.72592449,-74.00842076
1028631,40.77771642,-73.97855615
1036185,40.75450075,-73.97595043
1002692,40.71871429,-74.00092351
1064176,40.86143068,-73.92519692
1080732,40.7517824,-73.98632085
1063191,40.84588905,-73.93252278
1014477,40.75406917,-73.99010303
1033685,40.79381857,-73.97237878
1010598,40.73771082,-74.00028146
1018033,40.73994967,-73.98578922
1017855,40.73538785,-73.9856639
1026614,40.76319277,-73.99024607
1004252,40.7204589,-73.98436479
1005735,40.72379149,-73.9880403
1004051,40.71593894,-73.99046945
1024656,40.75570202,-73.98720798
1031202,40.78437419,-73.97369714
1088910,40.74161044,-73.98744887
1010598,40.73771082,-74.00028146
1064887,40.86924639,-73.915433
1013674,40.75600717,-73.99277738
1045227,40.77245915,-73.95567875
1047523,40.77528111,-73.95657589
1086553,40.72647375,-73.99901144
1001823,40.71405916,-73.99873747
1003802,40.71475877,-73.99147965
1004933,40.72905452,-73.97828683
1014406,40.75120373,-73.99112127
1082525,40.72168371,-73.99016919
1007103,40.72375637,-74.00382061
1014288,40.74806937,-73.99340984
1043794,40.76194945,-73.96336748
1005436,40.71844498,-73.99133849
1022706,40.75963708,-73.98062674
1005554,40.72186744,-73.98831844
1034269,40.75665626,-73.98055181
1035403,40.75573065,-73.97715194
1036168,40.75196956,-73.97358005
1078965,40.7034885,-74.01137537
1015153,40.74826968,-73.99258695
1019481,40.74933806,-73.97693759
1078114,40.73567146,-74.00056291
1003495,40.71357602,-73.99600323
1003813,40.71531308,-73.98988516
1015593,40.74287609,-73.99068572
1061751,40.82316176,-73.95281936
1079001,40.70362856,-74.01058914
1079184,40.75249396,-74.00588318
1088910,40.74161044,-73.98744887
1005274,40.71803041,-73.98997132
1008952,40.73083486,-73.99140182
1017863,40.73679342,-73.98774568
1037176,40.74905993,-73.97277276
1090417,40.70825594,-74.01347541
1014339,40.74904378,-73.99381396
1018168,40.74216428,-73.98281874
1047524,40.77532501,-73.95654337
1008476,40.72713233,-73.99376549
1013674,40.75660834,-73.99393959
1015649,40.74389973,-73.98897859
1055509,40.79828455,-73.96354967
1007354,40.72512328,-74.00315324
1055485,40.79805954,-73.96371955
1009906,40.73006935,-74.00327976
1030513,40.7792213,-73.98306912
1008952,40.73083486,-73.99140182
1014723,40.74098525,-73.99591858
1051454,40.78762321,-73.95388467
1080713,40.74481372,-73.98880521
1003720,40.71443428,-73.98546281
1084386,40.84148005,-73.94074225
1002695,40.71904092,-74.00137445
1018071,40.74043255,-73.98430235
1035403,40.75573065,-73.97715194
1077735,40.7228094,-74.00465754
1005621,40.72273217,-73.98963149
1036185,40.75450075,-73.97595043
1048395,40.78348001,-73.9505871
1008754,40.73142805,-74.00042576
1008838,40.73017628,-73.99390231
1024706,40.75709624,-73.98619342
1013105,40.74233849,-74.00064958
1019505,40.73298903,-73.98645462
1050065,40.77926412,-73.95071301
1059309,40.81085707,-73.9527956
1076208,40.76491631,-73.98845526
1005620,40.72322348,-73.98961698
1012856,40.75434407,-73.99858511
1018142,40.74088505,-73.98165708
1034341,40.75702662,-73.97947966
1048733,40.77717679,-73.95415551
1077862,40.76205064,-73.97179277
1001928,40.71866478,-74.00498192
1004189,40.71790102,-73.98628094
1032126,40.7860161,-73.97621706
1003943,40.71730334,-73.99426424
1020632,40.74215518,-73.97774484
1063402,40.84225221,-73.94249084
1004529,40.72521726,-73.97784793
1014723,40.74098525,-73.99591858
1052564,40.79770111,-73.94018182
1084318,40.79083482,-73.94228985
1006754,40.72900112,-73.98860943
1036185,40.75450075,-73.97595043
1051454,40.78762321,-73.95388467
1015000,40.74573637,-73.99443501
1025004,40.76057159,-73.99105143
1059853,40.81431519,-73.95929957
1089398,40.74780331,-74.00046918
1004039,40.71619411,-73.9894305
1015037,40.7452175,-73.99239601
1037547,40.750449,-73.97373224
1061751,40.82296694,-73.95296041
1063929,40.85147582,-73.93466061
1064176,40.86176532,-73.92486394
1001263,40.70974145,-74.00679196
1004352,40.72109518,-73.98101678
1032134,40.78674883,-73.97567873
1087303,40.73709298,-73.9921227
1088704,40.80970979,-73.96008991
1011676,40.73915444,-74.00544175
1023383,40.76357287,-73.97947403
1054024,40.80607326,-73.94148551
1085873,40.75541303,-73.98142927
1012241,40.74072162,-74.0069503
1004201,40.71885332,-73.98517324
1058102,40.81170331,-73.94262571
1015846,40.74759392,-73.98653104
1020542,40.735343,-73.97950801
1019790,40.73878519,-73.98096842
1081942,40.71725088,-73.98981271
1007354,40.72512328,-74.00315324
1036185,40.75450075,-73.97595043
1059700,40.81374033,-73.9560088
1086193,40.77165092,-73.98083263
1087769,40.74073489,-73.98769804
1003610,40.71441571,-73.99199914
1005989,40.7302876,-73.9822373
1013361,40.74493777,-73.99875493
1014952,40.74324134,-73.99359076
1000060,40.71451922,-74.01567349
1000794,40.70801153,-74.01444922
1008741,40.73079676,-74.00090203
1017221,40.75012385,-73.98124668
1035403,40.75573065,-73.97715194
1037547,40.750449,-73.97373224
1000060,40.71452196,-74.0156771
1014771,40.74214076,-73.9949694
1035403,40.75573065,-73.97715194
1035426,40.75701252,-73.97750163
1040053,40.75946502,-73.96208741
1015846,40.74757745,-73.98649135
1086177,40.71423991,-74.00980446
1087553,40.73197969,-74.00373448
1012064,40.73738401,-74.0065025
1020587,40.73628982,-73.97883294
1013589,40.75412434,-73.99403727
1026737,40.76432624,-73.98899686
1008212,40.7258506,-73.99530978
1084932,40.72933928,-74.00105355
1000836,40.70394698,-74.01029705
1002687,40.71907661,-73.9999531
1003502,40.71361443,-73.99553068
1006906,40.7328545,-73.98618043
1055736,40.80097102,-73.9615869
1087537,40.74673687,-73.98157606
1034237,40.75619528,-73.98138574
1083415,40.77756801,-73.95105367
1052541,40.79756332,-73.93914537
1066637,40.71872776,-73.99221146
1083268,40.75618542,-73.99056473
1087290,40.74683089,-73.98664308
1042115,40.76525219,-73.96595764
1042464,40.76615712,-73.96322798
1061320,40.82486085,-73.94675511
1064011,40.85421516,-73.93015742
1076195,40.76036787,-73.98518924
1082422,40.76583842,-73.98724213
1025011,40.7592566,-73.98832991
1077275,40.73330547,-73.99887422
1005010,40.72464195,-73.9845478
1066793,40.72966033,-74.00458225
1005709,40.72241679,-73.99322478
1015266,40.75317959,-73.98720847
1054473,40.80483382,-73.93850295
1006455,40.72895402,-73.98486431
1013845,40.74184717,-74.00098158
1033310,40.78995145,-73.9733699
1035407,40.75638411,-73.9782057
1048743,40.77699766,-73.95239003
1006671,40.72896269,-73.98856254
1048086,40.78032726,-73.95289316
1088997,40.75899343,-73.99220312
1004212,40.71759075,-73.9853539
1015683,40.74471219,-73.98906146
1018089,40.74117656,-73.98562656
1038762,40.75164228,-73.9708624
1066793,40.72966033,-74.00458225
1082137,40.73962808,-73.98255597
1015052,40.74585975,-73.99204948
1080495,40.75374826,-73.99319993
1086037,40.78794247,-73.94942818
1002002,40.71802788,-74.00725095
1014460,40.75327584,-73.98896981
1056511,40.79762707,-73.96776497
1005513,40.72092061,-73.9895019
1007775,40.72552402,-74.00313522
1016047,40.75232808,-73.98241548
1034205,40.75471042,-73.98170379
1036897,40.76137229,-73.97023002
1077595,40.71416612,-73.99527453
1025257,40.76363687,-73.98513436
1079109,40.72574886,-73.9920122
1081396,40.79416021,-73.93985997
1001076,40.71001845,-74.00981466
1013268,40.74387007,-73.99952363
1034198,40.75378267,-73.98159937
1052566,40.7980962,-73.93989252
1001026,40.70853891,-74.01104079
1013732,40.73873187,-74.00010465
1029873,40.77794484,-73.9820765
1059677,40.8109442,-73.95805172
1079645,40.71495644,-73.99207482
1006749,40.72881443,-73.9881729
1009961,40.73165029,-74.00459682
1089910,40.80949828,-73.95963126
1008039,40.72674547,-74.00212145
1041916,40.76318886,-73.96850007
1005434,40.71848891,-73.99148639
1006100,40.7234375,-73.98884489
1009443,40.73304745,-73.99821752
1025244,40.76449054,-73.98553126
1015937,40.75003086,-73.98340861
1044761,40.76577361,-73.95748823
1007790,40.72566129,-74.00198432
1014060,40.74413631,-73.99930349
1025187,40.763909,-73.9886251
1066317,40.71638896,-74.01093388
1072223,40.76714675,-73.95958122
1052704,40.78945744,-73.94326972
1084506,40.76273769,-73.97555758
1009217,40.73440027,-73.99083846
1019653,40.73757752,-73.98113837
1066793,40.72921566,-74.00522445
1066317,40.71615294,-74.01062721
1066729,40.72165117,-73.99731953
1035393,40.75453124,-73.97739779
1041900,40.76267579,-73.96923672
1052005,40.79146458,-73.94475952
1072223,40.76708363,-73.95962458
1048122,40.78101324,-73.95239798
1077647,40.72740565,-73.98255918
1031948,40.78395783,-73.97771276
1015983,40.75170257,-73.98452706
1050614,40.77870301,-73.94802342
1063475,40.84291749,-73.93921576
1002621,40.71682585,-73.99681469
1013657,40.75633662,-73.99413814
1056508,40.79738833,-73.96794567
1029873,40.77793661,-73.9820765
1083268,40.75618542,-73.99056473
1084666,40.73955849,-73.97703842
1006796,40.72954715,-73.98698571
1015266,40.75317959,-73.98720847
1035404,40.75581298,-73.97706528
1035791,40.76277293,-73.97354686
1005999,40.72948339,-73.9822736
1056064,40.79501232,-73.97150066
1077661,40.72884691,-73.9843556
