bin,year,idw_aadt
1010689,2019,7193.081668802337
1010689,2020,7412.369895058218
1010689,2021,8350.144641701505
1044690,2019,12988.853950015655
1044690,2020,12048.318975253054
1044690,2021,13486.71860529155
1030169,2019,13677.79284968311
1030169,2020,13732.269067473368
1030169,2021,15411.109097134598
1084099,2019,11736.070949473444
1084099,2020,12900.752000512839
1084099,2021,14449.074277683108
1089415,2019,12835.701326834162
1089415,2020,14143.073154760572
1089415,2021,15793.074614211031
1010378,2019,8380.04816649702
1010378,2020,8518.078247355748
1010378,2021,9512.41692648832
1005819,2019,8902.590581841208
1005819,2020,9175.805424977245
1005819,2021,10257.228258533689
1081486,2019,12378.594278062996
1081486,2020,12613.590551762607
1081486,2021,14144.491440335554
1014593,2019,8430.519713937014
1014593,2020,8000.651227984507
1014593,2021,8936.223786888475
1060194,2019,13670.957339648614
1060194,2020,15527.151113281052
1060194,2021,17505.868605964744
1082255,2019,11513.521150051278
1082255,2020,11836.683047042781
1082255,2021,13202.178833349462
1062060,2019,16372.881184390972
1062060,2020,18453.93731043805
1062060,2021,20678.16982140396
1004742,2019,7655.8241288617955
1004742,2020,7207.780058558479
1004742,2021,8074.980491314677
1011102,2019,8517.544704215687
1011102,2020,8740.418008601537
1011102,2021,9800.679910928473
1082278,2019,12275.253241798053
1082278,2020,12221.937936339642
1082278,2021,13758.31407422766
1034225,2019,10331.000943787509
1034225,2020,9030.595990023758
1034225,2021,10056.945369053778
1046785,2019,12178.307400644453
1046785,2020,12145.472093737064
1046785,2021,13706.405449505732
1006453,2019,9474.553435219159
1006453,2020,9348.272806691835
1006453,2021,10459.224347087338
1024845,2019,9851.705167485929
1024845,2020,9210.316247042972
1024845,2021,10259.955517616525
1055766,2019,10649.697676557658
1055766,2020,11717.944178420381
1055766,2021,13181.633368421402
1059646,2019,12418.58112643765
1059646,2020,13496.398343672323
1059646,2021,14977.666692045625
1078258,2019,12349.532637649265
1078258,2020,11957.859317230595
1078258,2021,13346.384947439776
1063806,2019,15444.061113462465
1063806,2020,18145.796323026723
1063806,2021,20134.60175046999
1005775,2019,8595.149051935676
1005775,2020,8906.086279971441
1005775,2021,9960.489370100768
1002843,2019,9300.207577973822
1002843,2020,9438.033389089156
1002843,2021,10534.268352151854
1050475,2019,14412.65008955332
1050475,2020,14861.825082026304
1050475,2021,16644.71504000646
1084202,2019,16613.550793124592
1084202,2020,19304.009481973964
1084202,2021,21287.66187693686
1032680,2019,9064.977013414244
1032680,2020,9544.977694998093
1032680,2021,10660.555806933458
1085952,2019,8073.251536615965
1085952,2020,8456.382937258935
1085952,2021,9549.369934446593
1043352,2019,13115.196360647162
1043352,2020,12875.823872988385
1043352,2021,14425.542338888063
1039622,2019,11828.124693004767
1039622,2020,10601.925518707883
1039622,2021,11840.608919814362
