neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng
Baychester,Pine Restaurant,ChIJIcUqAKP0wokRJzfqJIeeYkA,2.0,4.5,4247,OPERATIONAL,,"1913 Bronxdale Ave, Bronx, NY 10462",40.8487296,-73.8622597
Baychester,Steven Restaurant,ChIJnWOcNGDzwokRJlcT_yukyhM,2.0,4.0,185,OPERATIONAL,,"2233 Boston Rd, Bronx, NY 10467",40.858492,-73.8681398
Baychester,Misto Restaurant and Bar,ChIJ0xdhCGzzwokRJSNGHX1jJAs,,4.6,198,OPERATIONAL,,"2314 Eastchester Rd, Bronx, NY 10469",40.85993879999999,-73.84287429999999
Baychester,J Flava Caribbean Restaurant,ChIJTfRvjYP1wokRO4Usuo2xqC8,2.0,2.7,9,OPERATIONAL,,"746 Lydig Ave, Bronx, NY 10462",40.8542759,-73.8660268
Baychester,Caridad & Louie's Restaurant,ChIJYcaIt7OMwokRQk57RsOw5ys,2.0,4.2,2644,OPERATIONAL,,"1660 E Gun Hill Rd, Bronx, NY 10469",40.865866,-73.83774799999999
Baychester,Edge Restaurant & Lounge,ChIJo7A3MJvzwokR9hLhv1242bM,2.0,4.4,47,OPERATIONAL,,"2040 Eastchester Rd, Bronx, NY 10461",40.8543277,-73.8432428
Baychester,King Hummingbird Restaurant Inc.,ChIJ0ZPX0TfzwokRkDfKf4Bd4_A,1.0,4.3,191,OPERATIONAL,,"3377 Boston Rd, Bronx, NY 10469",40.8753148,-73.8513329
Baychester,Soo Jamaica Caribbean Restaurant,ChIJzbp_xCbzwokRpxto9yHBc7M,1.0,3.9,136,OPERATIONAL,,"4143 White Plains Rd, Bronx, NY 10466",40.8919422,-73.8583944
Baychester,Best Choice,ChIJ79W3QCXzwokRImJVtImJU_U,2.0,4.2,174,OPERATIONAL,,"3973 Bronxwood Ave, Bronx, NY 10466",40.8858081,-73.85503469999999
Baychester,Bravo African Restaurant,ChIJzxnlsD3zwokRQn_fFQKyss0,1.0,4.0,158,OPERATIONAL,,"3744 White Plains Rd, Bronx, NY 10467",40.8827361,-73.8630719
Baychester,Code Red Restaurant & Lounge,ChIJAQAQfEnzwokR5cXlw6wWYxU,2.0,4.1,1003,OPERATIONAL,,"1320 E Gun Hill Rd, Bronx, NY 10469",40.8711939,-73.848109
Baychester,The Dumpling Cove,ChIJCcCZ38uMwokRoLfGdwraLNQ,2.0,4.2,1983,OPERATIONAL,,"1530 E 222nd St #2619, Bronx, NY 10469",40.875858,-73.8361
Baychester,Lammy's Restaurant,ChIJUQX8cSnzwokRt7fXAiILowI,1.0,4.1,154,OPERATIONAL,,"987 E 233rd St, Bronx, NY 10466",40.89082459999999,-73.84881779999999
Baychester,Fogon Restaurant,ChIJ94XbwHj1wokRqOj8F4QzP0E,2.0,4.8,24,OPERATIONAL,,"2728 E Tremont Ave, Bronx, NY 10461",40.8422035,-73.8449796
Baychester,John & Joe's Pizzeria and Restaurant,ChIJLc1b4871wokRfsjAm_SYNf0,1.0,4.4,702,OPERATIONAL,,"749 Lydig Ave, Bronx, NY 10462",40.8545641,-73.8659036
Baychester,The Eleanor's Bar & Restaurant,ChIJr4rvWQCNwokR_c2DKImeuqg,,5.0,5,OPERATIONAL,,"3289 Westchester Ave, Bronx, NY 10461",40.853305,-73.82742750000001
Baychester,Crab Stop Cajun Seafood & Wings,ChIJk-4Enc7zwokRpSVHwkfGkvM,1.0,3.9,68,OPERATIONAL,,"3975 White Plains Rd, Bronx, NY 10466",40.8879871,-73.8606805
Baychester,Estrellita Poblana 4,ChIJy8co77L0wokRxlmN9h2dv-Y,2.0,4.4,1071,OPERATIONAL,,"45 Westchester Square, Bronx, NY 10461",40.8422339,-73.843626
Baychester,China King Restaurant,ChIJFcowbCvzwokRlh6RfwfsWEw,1.0,3.4,42,OPERATIONAL,,"1213 E 233rd St, Bronx, NY 10466",40.8896033,-73.84294009999999
Baychester,Golden Eagle Restaurant,ChIJQ0TT-6T0wokR4pDLOBaH094,1.0,4.1,400,OPERATIONAL,,"975 Morris Park Ave, Bronx, NY 10462",40.848044,-73.857011
Baychester,Peppa's Jerk Chicken Restaurant,ChIJrZCWh_zzwokRr9tSkArUMT0,2.0,4.1,14,OPERATIONAL,,"3634 White Plains Rd, Bronx, NY 10467",40.880016,-73.8645726
Baychester,Popeyes Louisiana Kitchen,ChIJez_JOGDzwokRIJY7po6YCqs,1.0,3.3,307,OPERATIONAL,,"2176-a White Plains Rd, Bronx, NY 10462",40.8556558,-73.8673187
Baychester,Azal Restaurant & Hall,ChIJxb2ZTw_1wokRDT5oBPHa_wc,,3.9,133,OPERATIONAL,,"711 Morris Park Ave, Bronx, NY 10462",40.8454864,-73.8657471
Baychester,Nana's Kitchen,ChIJM0JDlaX0wokRDjesSHnSNc8,2.0,4.6,179,OPERATIONAL,,"1809 Hone Ave, Bronx, NY 10461",40.8490507,-73.854996
Baychester,Cafe Colonial Restaurant,ChIJ_eSjOp_0wokRlY2ZkWUHo8c,2.0,4.0,1705,OPERATIONAL,,"2072 White Plains Rd, Bronx, NY 10462",40.8526076,-73.8673579
Baychester,EazyLife Restaurant & Lounge - West African Cuisine,ChIJoWtwUtrzwokRZAdtFzqP1oA,2.0,4.1,213,OPERATIONAL,,"1300 E 222nd St, Bronx, NY 10469",40.8787852,-73.843099
Baychester,J Flava's Jamaican & American Restaurant,ChIJzzFvgp_0wokRilK4XhvTkck,2.0,3.3,4,OPERATIONAL,,"Bronx, NY 10462",40.8544331,-73.8659265
Baychester,George's Restaurant,ChIJAXHSMleLwokR8aCHo4ouAfY,2.0,4.2,710,OPERATIONAL,,"3000 Buhre Ave, Bronx, NY 10461",40.8469807,-73.8320317
Baychester,Olive Garden Italian Restaurant,ChIJw6EmV7qMwokRqwG2xMcSOpM,2.0,4.0,3074,OPERATIONAL,,"200 Baychester Ave Suite 208A, Bronx, NY 10475",40.8644317,-73.8277296
Baychester,Pizza Hut,ChIJH6jnjbCMwokRKpaeAx_aKc0,1.0,3.6,528,OPERATIONAL,,"2829 Edson Ave, Bronx, NY 10469",40.8686219,-73.8338077
Baychester,Excellent Taste Restaurant,ChIJ8fkSy9nywokR8PrjXW3Tet4,1.0,3.6,142,OPERATIONAL,,"4356 White Plains Rd, Bronx, NY 10466",40.8972996,-73.85503469999999
Baychester,Fratelli Italian Restaurant,ChIJS8k8mVLzwokR5UCKN2cv-Hg,2.0,4.5,541,OPERATIONAL,,"2507 Eastchester Rd, Bronx, NY 10469",40.8631065,-73.8437266
Baychester,La Masa Restaurant,ChIJ3VWZDWP1wokRBL5pzP09YLM,2.0,4.2,77,OPERATIONAL,,"2542 E Tremont Ave, Bronx, NY 10461",40.8426947,-73.8490022
Baychester,Los Primos Restaurant,ChIJ-49lumfzwokR_1uf9Ui5Ejs,1.0,3.7,205,OPERATIONAL,,"698 Allerton Ave, Bronx, NY 10467",40.8652553,-73.867592
Baychester,3815 El Meson Restaurant,ChIJudVuSIXzwokRsrQpyXp6oc4,2.0,3.8,56,OPERATIONAL,,"3815 White Plains Rd, Bronx, NY 10467",40.8841388,-73.8628285
Baychester,Oasis Mediterranean Restaurant,ChIJ2z0XJZj0wokRSocBHTGEIP8,2.0,4.1,575,OPERATIONAL,,"1907 White Plains Rd, Bronx, NY 10462",40.8477323,-73.8675042
Baychester,Cooler Runnings Jamaican Restaurant,ChIJWyjHsdbywokRglUYomR1hZA,1.0,3.8,1113,OPERATIONAL,,"1802 Nereid Ave, Bronx, NY 10466",40.8980556,-73.8502778
Baychester,LA-TAZA,ChIJo-vBHHjzwokRmlM-pfO9wp4,1.0,4.0,5,OPERATIONAL,,"3962 White Plains Rd, Bronx, NY 10466",40.88737820000001,-73.8603725
Baychester,Golden Krust Caribbean Restaurant,ChIJ4aFT_DzzwokRstmee5h0IUU,1.0,4.0,368,OPERATIONAL,,"3812 White Plains Rd, Bronx, NY 10467",40.883937,-73.862393
Baychester,"Fish N' Ting Restaurant, Bar & Lounge",ChIJlbT7G9qMwokREoyk1dFJFJg,2.0,4.2,1307,OPERATIONAL,,"4063 Boston Rd, Bronx, NY 10466",40.8856793,-73.8291328
Baychester,Triple Deuce Restaurant & Grill,ChIJudvGaXjzwokRfX6GljmrDGo,2.0,4.3,190,OPERATIONAL,,"3601 Boston Rd, Bronx, NY 10466",40.8793162,-73.843311
Baychester,Estrellita Poblana II,ChIJP5GNdmjzwokRZ1PhLwuqawg,2.0,4.2,1493,OPERATIONAL,,"2819 White Plains Rd, Bronx, NY 10467",40.8670839,-73.86754309999999
Baychester,Barry's restaurant,ChIJX4urgCfzwokRzYtrrSEoz4I,,3.8,19,OPERATIONAL,,"707 E 235th St, Bronx, NY 10466",40.8948751,-73.8562833
Baychester,Kiraku Japanese Restaurant,ChIJb8Jm2Kf0wokRH-aNT2PHVR0,2.0,4.3,295,OPERATIONAL,,"1948 Williamsbridge Rd, Bronx, NY 10461",40.8534129,-73.8535273
Baychester,G&S Restaurant And Lounge,ChIJYcGMQZvzwokRf6Gl9V--cFg,2.0,4.3,28,OPERATIONAL,,"4386 White Plains Rd, Bronx, NY 10466",40.8980121,-73.8544658
