neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng
Alphabet City,Chelsea Square Restaurant,ChIJqYlpjrlZwokRI62BYbAFgY8,2.0,4.2,1254,OPERATIONAL,,"368 W 23rd St, New York, NY 10011",40.746205,-74.001278
Alphabet City,Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1254,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406
Alphabet City,Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,769,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515
Alphabet City,Taqueria La Norteña,ChIJ6101NkRZwokRMs6YwSxx9wI,1.0,4.4,515,OPERATIONAL,,"668 Manhattan Ave, Brooklyn, NY 11222",40.724758,-73.95120299999999
Alphabet City,Yuca,ChIJfS6RWp1ZwokRHRCIiP-IApE,2.0,4.2,1841,OPERATIONAL,,"111 Avenue A, New York, NY 10009",40.7262033,-73.983606
Alphabet City,O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4694,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642
Alphabet City,DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,550,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999
Alphabet City,Made 21 Restaurant & Lounge,ChIJ0cIK86dbwokRlol5_9zSu1M,,4.1,82,OPERATIONAL,,"231 S 4th St, Brooklyn, NY 11211",40.7105669,-73.95884989999999
Alphabet City,Blend on the Water,ChIJaQR-pCFZwokRNMloynEQPgA,2.0,4.2,4945,OPERATIONAL,,"45-40 Center Blvd, Queens, NY 11109",40.7482388,-73.95690809999999
Alphabet City,Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,728,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878
Alphabet City,Chelsea Ristorante Italiano,ChIJ3Qtyib5ZwokRswc-QzntwIU,2.0,4.2,533,OPERATIONAL,,"108 8th Ave, New York, NY 10011",40.7406515,-74.0015913
Alphabet City,Tutt Heights,ChIJAQAsDTdawokRbXcJnQ55gBM,1.0,4.5,401,OPERATIONAL,,"47 Hicks St, Brooklyn, NY 11201",40.700213,-73.993316
Alphabet City,SAINT RESTAURANT BAR & SPEAKEASY,ChIJ6atD-WRZwokRULgcZ4TWin8,3.0,4.5,655,OPERATIONAL,,"136 2nd Ave, New York, NY 10003",40.7286979,-73.9872499
Alphabet City,Gotham Restaurant,ChIJZ72FzplZwokRmcA7CQzDMj0,4.0,4.5,1347,OPERATIONAL,,"12 E 12th St, New York, NY 10003",40.7341848,-73.99369519999999
Alphabet City,Los Primos,ChIJK8mMNVZZwokRY0_HKxvt7uQ,1.0,3.9,431,OPERATIONAL,,"704 Grand St, Brooklyn, NY 11211",40.711468,-73.9445361
Alphabet City,Rossini's,ChIJV6mJyQZZwokRPoUsJJjsgoI,3.0,4.5,576,OPERATIONAL,,"108 E 38th St, New York, NY 10016",40.7492295,-73.9789195
Alphabet City,Bahia,ChIJgbhttVdZwokRfwxJIL6aZ3g,2.0,4.5,916,OPERATIONAL,,"690 Grand St, Brooklyn, NY 11211",40.7114269,-73.9449798
Alphabet City,Gramercy Kitchen,ChIJDxR7d59ZwokRkTMW7oCrVl4,2.0,4.3,674,OPERATIONAL,,"184 3rd Ave, New York, NY 10003",40.7351654,-73.98605049999999
Alphabet City,Blend LIC,ChIJEdfcByRZwokRQe04uT7LBNY,2.0,4.3,1258,OPERATIONAL,,"47-04 Vernon Blvd, Queens, NY 11101",40.745294,-73.9534122
Alphabet City,Manetta's,ChIJJVkc8iRZwokRA-3qv5OZmsg,2.0,4.6,764,OPERATIONAL,,"10-76 Jackson Ave, Long Island City, NY 11101",40.74266679999999,-73.9518057
Alphabet City,OLIO E PIÙ,ChIJ_RUJvZZZwokRNUEv3K4nSik,2.0,4.6,6061,OPERATIONAL,,"3 Greenwich Ave, New York, NY 10014",40.7338794,-73.99994079999999
Alphabet City,La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2184,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406
Alphabet City,Lhasa,ChIJ44SZj09ZwokRqIeN6EEd_VQ,1.0,4.6,245,OPERATIONAL,,"177 1st Ave., New York, NY 10003",40.72938509999999,-73.9843357
Alphabet City,218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,167,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189781,-73.9957424
Alphabet City,Som Bo,ChIJfQgOo75ZwokRFK_w2n2spEM,1.0,4.4,459,OPERATIONAL,,"143 8th Ave, New York, NY 10011",40.7418511,-74.00123119999999
Alphabet City,Joseph's Restaurant,ChIJST0cgRZawokRNvJv5mhG57E,3.0,4.5,292,OPERATIONAL,,"3 Hanover Square, New York, NY 10004",40.7048499,-74.0095927
