cdtaname,lat,lon
MN01 Financial District-Tribeca (CD 1 Equivalent),40.69567322688041,-74.04233963651818
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.7118687460132,-73.98584800829616
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.7119505994193,-73.989476789607
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.715160465738236,-73.98733213729889
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71751329862122,-73.9858816314248
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71904611994839,-73.99084216687712
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.719115665463704,-73.98184415959811
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.722584851642274,-73.97993015397464
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.724389224159616,-73.97861335594027
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.7268609558129,-73.97681304479437
MN01 Financial District-Tribeca (CD 1 Equivalent),40.715310572008796,-74.00381559584183
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72555328579251,-73.9837070191726
MN01 Financial District-Tribeca (CD 1 Equivalent),40.71886214043455,-74.00614634416432
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.729005908590665,-73.98145767697618
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72231932780297,-73.99112716459572
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72456037526042,-73.9902004617612
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.7262785649451,-74.00748679411505
MN01 Financial District-Tribeca (CD 1 Equivalent),40.72079553570623,-74.01078075904489
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.73026448525529,-73.98490211929126
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.73124230289798,-73.9872089545638
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.719163687384025,-73.99669598277333
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.7233244008241,-73.99546720645793
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.720570330194796,-73.99939082189476
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.73743473647998,-73.99045862330034
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.73881207743289,-73.99367779133664
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.72767261053474,-73.99708180830038
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.72622349669266,-73.99387212712993
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.743151589282775,-73.99051618494462
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73442170185432,-73.99686078482696
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.729967219959065,-73.99957850679246
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73045257093781,-74.00412224839054
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.740437329601846,-73.98407917312464
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.74270836386218,-73.97582432610801
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.74367558303776,-73.97813139634542
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.735446619591116,-73.99991361124717
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.74486136560261,-73.98085592085923
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.7341157154907,-74.00410623313314
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.74756594153463,-73.9872962483915
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73808308577588,-74.00329385357671
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.74632537305903,-73.9746736597301
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.74925841664861,-73.97765233140433
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.739805730411874,-73.99877177141191
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75061378169333,-73.98087259028381
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.74219882313685,-74.00445211268418
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75196991080341,-73.98409384539357
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.74224335877802,-73.99699453343844
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.74463788717629,-74.0026774479282
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.7447184385998,-73.99519664557965
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.753646677329165,-73.9747401212319
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.74711353134225,-74.00087528572321
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75522698291666,-73.97774408784092
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.74723661341872,-73.9933578310011
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75637499569651,-73.98088602116577
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.74964088813696,-73.99903271626314
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75213531412718,-74.00495639289603
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.75806492333817,-73.97123333805082
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.74973079938623,-73.9915367553808
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75942376926711,-73.97444936939087
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.76077898601401,-73.9776728853297
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.75798107923256,-73.96617557671973
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.759122475364066,-73.96387512885924
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.760093210239354,-73.96617516906677
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75225067339248,-73.98970307625612
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.76397790108047,-73.97534573282566
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.76260394851997,-73.97213117788797
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.76124165833145,-73.96891072325583
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75477510311471,-73.98786993559035
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76348257743031,-73.96727887650732
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76527473665363,-73.96085525425681
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.75731518521481,-73.98602477324474
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.766926100863664,-73.96476633494787
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75911188568594,-73.99027921142289
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76030758868875,-73.99311908739338
