neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
Alphabet City,Chelsea Square Restaurant,ChIJqYlpjrlZwokRI62BYbAFgY8,2.0,4.2,1254,OPERATIONAL,,"368 W 23rd St, New York, NY 10011",40.746205,-74.001278,1013375,0.0
Alphabet City,Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1254,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406,1079138,0.0
Alphabet City,Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,769,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515,1006973,0.0
Alphabet City,Yuca,ChIJfS6RWp1ZwokRHRCIiP-IApE,2.0,4.2,1841,OPERATIONAL,,"111 Avenue A, New York, NY 10009",40.7262033,-73.983606,1077644,0.0
Alphabet City,O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4694,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642,1001038,0.0
Alphabet City,DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,550,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999,1000880,0.0
Alphabet City,Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,728,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878,1001093,0.0
Alphabet City,Chelsea Ristorante Italiano,ChIJ3Qtyib5ZwokRswc-QzntwIU,2.0,4.2,533,OPERATIONAL,,"108 8th Ave, New York, NY 10011",40.7406515,-74.0015913,1081537,0.0
Alphabet City,SAINT RESTAURANT BAR & SPEAKEASY,ChIJ6atD-WRZwokRULgcZ4TWin8,3.0,4.5,655,OPERATIONAL,,"136 2nd Ave, New York, NY 10003",40.7286979,-73.9872499,1079104,0.0
Alphabet City,Gotham Restaurant,ChIJZ72FzplZwokRmcA7CQzDMj0,4.0,4.5,1347,OPERATIONAL,,"12 E 12th St, New York, NY 10003",40.7341848,-73.99369519999999,1009294,0.0
Alphabet City,Rossini's,ChIJV6mJyQZZwokRPoUsJJjsgoI,3.0,4.5,576,OPERATIONAL,,"108 E 38th St, New York, NY 10016",40.7492295,-73.9789195,1019118,0.0
Alphabet City,Gramercy Kitchen,ChIJDxR7d59ZwokRkTMW7oCrVl4,2.0,4.3,674,OPERATIONAL,,"184 3rd Ave, New York, NY 10003",40.7351654,-73.98605049999999,1017823,0.0
Alphabet City,OLIO E PIÙ,ChIJ_RUJvZZZwokRNUEv3K4nSik,2.0,4.6,6061,OPERATIONAL,,"3 Greenwich Ave, New York, NY 10014",40.7338794,-73.99994079999999,1010268,0.0
Alphabet City,La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2184,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406,1006969,0.0
Alphabet City,Lhasa,ChIJ44SZj09ZwokRqIeN6EEd_VQ,1.0,4.6,245,OPERATIONAL,,"177 1st Ave., New York, NY 10003",40.72938509999999,-73.9843357,1006449,0.0
Alphabet City,218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,167,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189781,-73.9957424,1006933,0.0
Alphabet City,Som Bo,ChIJfQgOo75ZwokRFK_w2n2spEM,1.0,4.4,459,OPERATIONAL,,"143 8th Ave, New York, NY 10011",40.7418511,-74.00123119999999,1013076,0.0
Alphabet City,Joseph's Restaurant,ChIJST0cgRZawokRNvJv5mhG57E,3.0,4.5,292,OPERATIONAL,,"3 Hanover Square, New York, NY 10004",40.7048499,-74.0095927,1000831,0.0
Alphabet City,DIG,ChIJE8C9yspZwokRll_tX45HV8M,1.0,4.0,291,OPERATIONAL,,"691 Broadway, New York, NY 10012",40.7281819,-73.99463949999999,1008629,0.0
Alphabet City,BLACKBARN Restaurant,ChIJQZSnWKZZwokRXPNOv9-qWsY,3.0,4.4,1109,OPERATIONAL,,"19 E 26th St, New York, NY 10010",40.743099,-73.9871592,1089338,36.89630868089081
Alphabet City,L' Angeletto,ChIJQU144WZZwokRks949ol40_Q,2.0,4.6,165,OPERATIONAL,,"327 2nd Ave, New York, NY 10003",40.73541790000001,-73.9829477,1019591,0.0
Alphabet City,Sabai Thai,ChIJ83Nr8qdZwokRlQ9NQpIpcw4,2.0,4.5,908,OPERATIONAL,,"432 Park Ave S, New York, NY 10016",40.744299,-73.98366399999999,1016935,28.810589864221253
Alphabet City,Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,268,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551,1001569,0.0
Alphabet City,Upland,ChIJWVD7FadZwokRs_pS6XY7VOU,3.0,4.5,2024,OPERATIONAL,,"345 Park Ave S, New York, NY 10010",40.7419313,-73.984644,1018102,24.413544734232733
Alphabet City,Dos Caminos,ChIJGy8Umr9ZwokRVas9YjRxMfo,2.0,4.0,2308,OPERATIONAL,,"675 Hudson St, New York, NY 10014",40.7404331,-74.0054753,1011691,0.0
Alphabet City,El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,301,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895,1078979,0.0
Alphabet City,Jose Luis Mediterranean Cuisine,ChIJD3o0w4JZwokR-WlDg3eOg0I,2.0,4.8,566,OPERATIONAL,,"186 Avenue B, New York, NY 10009",40.7278642,-73.97941030000001,1005181,0.0
Alphabet City,Bocca Cucina and Bar,ChIJxU04KKJZwokRll1-56xgtuc,2.0,4.6,505,OPERATIONAL,,"39 E 19th St, New York, NY 10003",40.7382123,-73.98890829999999,1016167,0.0
Alphabet City,Le Zie,ChIJw5ZDfLtZwokRIq-gubtn53c,2.0,4.4,464,OPERATIONAL,,"172 7th Ave between 20th, W 21st St, New York, NY 10011",40.7424925,-73.9970491,1014034,0.0
Alphabet City,NOMO Kitchen,ChIJDVWAj4lZwokRiQQKeBiTHcI,3.0,3.9,1077,OPERATIONAL,,"9 Crosby St, New York, NY 10013",40.7197214,-73.9999421,1088790,0.0
Alphabet City,DK Restaurant NYC,ChIJ7cFMaqxZwokRiwwuIFN8pbA,3.0,4.3,518,OPERATIONAL,,"207 W 36th St., New York, NY 10001",40.7526884,-73.9905028,1014445,9.363270678664655
Alphabet City,Giardino D'Oro,ChIJA7FDxRdawokR60802QyPTbM,3.0,4.5,249,OPERATIONAL,,"5 Gold St, New York, NY 10038",40.7075397,-74.0071775,1001112,26.651623399894323
Alphabet City,IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2007,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924,1002653,0.0
Alphabet City,noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,380,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102,1007158,0.0
Alphabet City,Local Bazár,ChIJ60c5xqVZwokRv6aAYl8hT6s,2.0,4.3,839,OPERATIONAL,,"31 W 26th St, New York, NY 10010",40.7444336,-73.9900996,1015636,9.016532256123577
Alphabet City,Taverna Di Bacco,ChIJlQFG6INZwokRRiBMK6vm7xw,2.0,4.7,381,OPERATIONAL,,"175 Ludlow St, New York, NY 10002",40.7218822,-73.9875995,1005402,0.0
Alphabet City,Cafe Himalaya,ChIJk-Ctm4NZwokRpuORmfL1xKk,1.0,4.7,735,OPERATIONAL,,"78 E 1st St, New York, NY 10009",40.7231767,-73.9879641,1005757,0.0
Alphabet City,Lindens,ChIJh-oPySxZwokRBTfrxwTdRo4,2.0,4.8,346,OPERATIONAL,,"2 Renwick St, New York, NY 10013",40.7245348,-74.0084684,1088827,0.0
Alphabet City,Nish Nush,ChIJd4zbIRhawokRADDaMwkBe0E,1.0,4.5,989,OPERATIONAL,,"41 John St, New York, NY 10038",40.7093643,-74.0079567,1084390,0.0
Alphabet City,Serafina Italian Restaurant Tribeca,ChIJ-0VhGB9awokRksxfZJBvigE,2.0,4.3,1063,OPERATIONAL,,"95 W Broadway, New York, NY 10007",40.7156249,-74.0089397,1001584,0.0
Alphabet City,Pio Pio 7,ChIJnXFVDgZZwokRWyjYGSq5K38,2.0,4.4,1134,OPERATIONAL,,"210 E 34th St, New York, NY 10016",40.7453563,-73.97763669999999,1020135,1.658688357222833
Battery Park City,Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1254,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406,1079138,0.0
Battery Park City,Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,769,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515,1006973,0.0
Battery Park City,Yuca,ChIJfS6RWp1ZwokRHRCIiP-IApE,2.0,4.2,1841,OPERATIONAL,,"111 Avenue A, New York, NY 10009",40.7262033,-73.983606,1077644,0.0
Battery Park City,O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4694,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642,1001038,0.0
Battery Park City,DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,550,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999,1000880,0.0
Battery Park City,Schilling Restaurant & Bar,ChIJZXs66hBawokRizEXnDJplPw,3.0,4.4,505,OPERATIONAL,,"109 Washington St, New York, NY 10006",40.7085845,-74.01401659999999,1001047,0.0
Battery Park City,Trinity Place,ChIJ4_AAQhdawokRzbYlVLyzKlk,2.0,4.4,1325,OPERATIONAL,,"115 Broadway, New York, NY 10006",40.708882,-74.01143259999999,1001030,0.0
Battery Park City,Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,728,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878,1001093,0.0
Battery Park City,SAINT RESTAURANT BAR & SPEAKEASY,ChIJ6atD-WRZwokRULgcZ4TWin8,3.0,4.5,655,OPERATIONAL,,"136 2nd Ave, New York, NY 10003",40.7286979,-73.9872499,1079104,0.0
Battery Park City,Gotham Restaurant,ChIJZ72FzplZwokRmcA7CQzDMj0,4.0,4.5,1347,OPERATIONAL,,"12 E 12th St, New York, NY 10003",40.7341848,-73.99369519999999,1009294,0.0
Battery Park City,Gramercy Kitchen,ChIJDxR7d59ZwokRkTMW7oCrVl4,2.0,4.3,674,OPERATIONAL,,"184 3rd Ave, New York, NY 10003",40.7351654,-73.98605049999999,1017823,0.0
Battery Park City,OLIO E PIÙ,ChIJ_RUJvZZZwokRNUEv3K4nSik,2.0,4.6,6061,OPERATIONAL,,"3 Greenwich Ave, New York, NY 10014",40.7338794,-73.99994079999999,1010268,0.0
Battery Park City,La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2184,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406,1006969,0.0
Battery Park City,Lhasa,ChIJ44SZj09ZwokRqIeN6EEd_VQ,1.0,4.6,245,OPERATIONAL,,"177 1st Ave., New York, NY 10003",40.72938509999999,-73.9843357,1006449,0.0
Battery Park City,218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,167,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189781,-73.9957424,1006933,0.0
Battery Park City,Joseph's Restaurant,ChIJST0cgRZawokRNvJv5mhG57E,3.0,4.5,292,OPERATIONAL,,"3 Hanover Square, New York, NY 10004",40.7048499,-74.0095927,1000831,0.0
Battery Park City,DIG,ChIJE8C9yspZwokRll_tX45HV8M,1.0,4.0,291,OPERATIONAL,,"691 Broadway, New York, NY 10012",40.7281819,-73.99463949999999,1008629,0.0
Battery Park City,L' Angeletto,ChIJQU144WZZwokRks949ol40_Q,2.0,4.6,165,OPERATIONAL,,"327 2nd Ave, New York, NY 10003",40.73541790000001,-73.9829477,1019591,0.0
Battery Park City,Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,268,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551,1001569,0.0
Battery Park City,Family Meal at Blue Hill,ChIJi9BURJFZwokRDcqvIgxdXds,4.0,4.6,1146,OPERATIONAL,,"75 Washington Pl, New York, NY 10011",40.7320354,-73.9996781,1008898,0.0
Battery Park City,El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,301,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895,1078979,0.0
Battery Park City,Morton's The Steakhouse,ChIJt7rGmBBawokR6QNt2e9e1kY,4.0,4.4,731,OPERATIONAL,,"136 Washington St, New York, NY 10006",40.7097005,-74.0139538,1001063,0.0
Battery Park City,Bocca Cucina and Bar,ChIJxU04KKJZwokRll1-56xgtuc,2.0,4.6,505,OPERATIONAL,,"39 E 19th St, New York, NY 10003",40.7382123,-73.98890829999999,1016167,0.0
Battery Park City,Sauce Restaurant,ChIJyz4qsYZZwokRr3PKHw0CzaE,2.0,4.3,1075,OPERATIONAL,,"78 Rivington St, New York, NY 10002",40.7204716,-73.9893263,1005536,0.0
Battery Park City,NOMO Kitchen,ChIJDVWAj4lZwokRiQQKeBiTHcI,3.0,3.9,1077,OPERATIONAL,,"9 Crosby St, New York, NY 10013",40.7197214,-73.9999421,1088790,0.0
Battery Park City,Giardino D'Oro,ChIJA7FDxRdawokR60802QyPTbM,3.0,4.5,249,OPERATIONAL,,"5 Gold St, New York, NY 10038",40.7075397,-74.0071775,1001112,26.651623399894323
Battery Park City,IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2007,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924,1002653,0.0
Battery Park City,noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,380,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102,1007158,0.0
Battery Park City,Taverna Di Bacco,ChIJlQFG6INZwokRRiBMK6vm7xw,2.0,4.7,381,OPERATIONAL,,"175 Ludlow St, New York, NY 10002",40.7218822,-73.9875995,1005402,0.0
Battery Park City,Cafe Himalaya,ChIJk-Ctm4NZwokRpuORmfL1xKk,1.0,4.7,735,OPERATIONAL,,"78 E 1st St, New York, NY 10009",40.7231767,-73.9879641,1005757,0.0
Battery Park City,Little Poland,ChIJsRO_fJ5ZwokRqqVpqIrIKQY,1.0,4.5,908,OPERATIONAL,,"200 2nd Ave, New York, NY 10003",40.7311679,-73.9855602,1082514,13.82134216954504
Battery Park City,Lindens,ChIJh-oPySxZwokRBTfrxwTdRo4,2.0,4.8,346,OPERATIONAL,,"2 Renwick St, New York, NY 10013",40.7245348,-74.0084684,1088827,0.0
Battery Park City,Nish Nush,ChIJd4zbIRhawokRADDaMwkBe0E,1.0,4.5,989,OPERATIONAL,,"41 John St, New York, NY 10038",40.7093643,-74.0079567,1084390,0.0
Battery Park City,Serafina Italian Restaurant Tribeca,ChIJ-0VhGB9awokRksxfZJBvigE,2.0,4.3,1063,OPERATIONAL,,"95 W Broadway, New York, NY 10007",40.7156249,-74.0089397,1001584,0.0
Battery Park City,T.J. Byrnes Bar & Restaurant,ChIJyYiySj1awokRueQwalZ6hmA,2.0,4.3,227,OPERATIONAL,,"77 Fulton St, New York, NY 10038",40.7090939,-74.0046368,1090791,0.0
Battery Park City,The Tuck Room,ChIJ7epq4zxawokRADBrW_zuoMg,,4.0,446,OPERATIONAL,,"11 Fulton St, New York, NY 10038",40.7066295,-74.0031405,1001318,0.0
Battery Park City,Jack's Wife Freda - West Village,ChIJt_loX5JZwokRZkK8Zu2O_X4,2.0,4.4,1806,OPERATIONAL,,"50 Carmine St, New York, NY 10014",40.7298702,-74.0035426,1008357,0.0
Battery Park City,Sixty Three Clinton,ChIJ385rlW9ZwokRHTamoLqoosI,,4.8,292,OPERATIONAL,,"63 Clinton St, New York, NY 10002",40.719503,-73.985142,1004230,0.0
Battery Park City,Sevilla,ChIJpx2fW5RZwokRge-7dBOrTSQ,2.0,4.3,1083,OPERATIONAL,,"62 Charles St, New York, NY 10014",40.7348347,-74.0030537,1010824,0.0
Battery Park City,Aroy Dee Thai Kitchen,ChIJv-EALxhawokR9oeGPdShFLo,1.0,4.2,542,OPERATIONAL,,"20 John St, New York, NY 10038",40.7097921,-74.0089345,1001104,2.250847551006794
Battery Park City,Amber,ChIJGVXgsexZwokRpHZr2GIJBik,2.0,4.4,379,OPERATIONAL,,"135 Christopher St, New York, NY 10014",40.733152,-74.006957,1011740,0.0
Battery Park City,Inatteso Pizzabar,ChIJb1ng8xFawokRLcG2ng6A3Uk,2.0,4.4,576,OPERATIONAL,,"28 Little W St, New York, NY 10004",40.7060556,-74.0172087,1087238,0.0
The Bowery,Chelsea Square Restaurant,ChIJqYlpjrlZwokRI62BYbAFgY8,2.0,4.2,1254,OPERATIONAL,,"368 W 23rd St, New York, NY 10011",40.746205,-74.001278,1013375,0.0
The Bowery,Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1254,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406,1079138,0.0
The Bowery,Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,769,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515,1006973,0.0
The Bowery,Yuca,ChIJfS6RWp1ZwokRHRCIiP-IApE,2.0,4.2,1841,OPERATIONAL,,"111 Avenue A, New York, NY 10009",40.7262033,-73.983606,1077644,0.0
The Bowery,O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4694,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642,1001038,0.0
The Bowery,DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,550,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999,1000880,0.0
The Bowery,Schilling Restaurant & Bar,ChIJZXs66hBawokRizEXnDJplPw,3.0,4.4,505,OPERATIONAL,,"109 Washington St, New York, NY 10006",40.7085845,-74.01401659999999,1001047,0.0
The Bowery,Tosokchon Restaurant NYC,ChIJNV2ZpgdZwokRmj9Iy3h2F-s,2.0,4.1,127,OPERATIONAL,,"14 E 33rd St 1FL A, New York, NY 10016",40.7472327,-73.98430610000001,1017030,0.0
The Bowery,Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,728,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878,1001093,0.0
The Bowery,Chelsea Ristorante Italiano,ChIJ3Qtyib5ZwokRswc-QzntwIU,2.0,4.2,533,OPERATIONAL,,"108 8th Ave, New York, NY 10011",40.7406515,-74.0015913,1081537,0.0
The Bowery,SAINT RESTAURANT BAR & SPEAKEASY,ChIJ6atD-WRZwokRULgcZ4TWin8,3.0,4.5,655,OPERATIONAL,,"136 2nd Ave, New York, NY 10003",40.7286979,-73.9872499,1079104,0.0
The Bowery,Gotham Restaurant,ChIJZ72FzplZwokRmcA7CQzDMj0,4.0,4.5,1347,OPERATIONAL,,"12 E 12th St, New York, NY 10003",40.7341848,-73.99369519999999,1009294,0.0
The Bowery,Rossini's,ChIJV6mJyQZZwokRPoUsJJjsgoI,3.0,4.5,576,OPERATIONAL,,"108 E 38th St, New York, NY 10016",40.7492295,-73.9789195,1019118,0.0
The Bowery,Lena's Italian Kitchen,ChIJ8TzazwhZwokRUacdVHD8CBg,2.0,4.6,321,OPERATIONAL,,"551 2nd Ave, New York, NY 10016",40.7426375,-73.9777296,1019957,0.0
The Bowery,Gramercy Kitchen,ChIJDxR7d59ZwokRkTMW7oCrVl4,2.0,4.3,674,OPERATIONAL,,"184 3rd Ave, New York, NY 10003",40.7351654,-73.98605049999999,1017823,0.0
The Bowery,OLIO E PIÙ,ChIJ_RUJvZZZwokRNUEv3K4nSik,2.0,4.6,6061,OPERATIONAL,,"3 Greenwich Ave, New York, NY 10014",40.7338794,-73.99994079999999,1010268,0.0
The Bowery,La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2184,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406,1006969,0.0
The Bowery,Lhasa,ChIJ44SZj09ZwokRqIeN6EEd_VQ,1.0,4.6,245,OPERATIONAL,,"177 1st Ave., New York, NY 10003",40.72938509999999,-73.9843357,1006449,0.0
The Bowery,218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,167,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189781,-73.9957424,1006933,0.0
The Bowery,Som Bo,ChIJfQgOo75ZwokRFK_w2n2spEM,1.0,4.4,459,OPERATIONAL,,"143 8th Ave, New York, NY 10011",40.7418511,-74.00123119999999,1013076,0.0
The Bowery,Joseph's Restaurant,ChIJST0cgRZawokRNvJv5mhG57E,3.0,4.5,292,OPERATIONAL,,"3 Hanover Square, New York, NY 10004",40.7048499,-74.0095927,1000831,0.0
The Bowery,DIG,ChIJE8C9yspZwokRll_tX45HV8M,1.0,4.0,291,OPERATIONAL,,"691 Broadway, New York, NY 10012",40.7281819,-73.99463949999999,1008629,0.0
The Bowery,BLACKBARN Restaurant,ChIJQZSnWKZZwokRXPNOv9-qWsY,3.0,4.4,1109,OPERATIONAL,,"19 E 26th St, New York, NY 10010",40.743099,-73.9871592,1089338,36.89630868089081
The Bowery,L' Angeletto,ChIJQU144WZZwokRks949ol40_Q,2.0,4.6,165,OPERATIONAL,,"327 2nd Ave, New York, NY 10003",40.73541790000001,-73.9829477,1019591,0.0
The Bowery,Sabai Thai,ChIJ83Nr8qdZwokRlQ9NQpIpcw4,2.0,4.5,908,OPERATIONAL,,"432 Park Ave S, New York, NY 10016",40.744299,-73.98366399999999,1016935,28.810589864221253
The Bowery,Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,268,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551,1001569,0.0
The Bowery,Upland,ChIJWVD7FadZwokRs_pS6XY7VOU,3.0,4.5,2024,OPERATIONAL,,"345 Park Ave S, New York, NY 10010",40.7419313,-73.984644,1018102,24.413544734232733
The Bowery,Family Meal at Blue Hill,ChIJi9BURJFZwokRDcqvIgxdXds,4.0,4.6,1146,OPERATIONAL,,"75 Washington Pl, New York, NY 10011",40.7320354,-73.9996781,1008898,0.0
The Bowery,Dos Caminos,ChIJGy8Umr9ZwokRVas9YjRxMfo,2.0,4.0,2308,OPERATIONAL,,"675 Hudson St, New York, NY 10014",40.7404331,-74.0054753,1011691,0.0
The Bowery,El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,301,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895,1078979,0.0
The Bowery,Jose Luis Mediterranean Cuisine,ChIJD3o0w4JZwokR-WlDg3eOg0I,2.0,4.8,566,OPERATIONAL,,"186 Avenue B, New York, NY 10009",40.7278642,-73.97941030000001,1005181,0.0
The Bowery,Morton's The Steakhouse,ChIJt7rGmBBawokR6QNt2e9e1kY,4.0,4.4,731,OPERATIONAL,,"136 Washington St, New York, NY 10006",40.7097005,-74.0139538,1001063,0.0
The Bowery,Bocca Cucina and Bar,ChIJxU04KKJZwokRll1-56xgtuc,2.0,4.6,505,OPERATIONAL,,"39 E 19th St, New York, NY 10003",40.7382123,-73.98890829999999,1016167,0.0
