Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (1000022.0656769357 241929.8690758706),WEST 154 STREET,Amsterdam Avenue,8 Avenue Line,8.587797619047619,8.0
2018,POINT (1000128.7348283393 230872.71725348654),PARK AVENUE,East 117 Street,East 118 Street,59.890161374284226,50.0
2018,POINT (1000194.3483783082 230817.78931579232),PARK AVENUE,East 117 Street,East 118 Street,37.66805411030177,32.0
2018,POINT (1000197.6399991428 242152.1558374862),WEST 155 STREET,8 Avenue Line,Amsterdam Avenue,86.68055555555556,96.0
2018,POINT (1000220.9803800508 240735.9381250453),ST NICHOLAS PLACE,Concourse Line,Concourse Line,30.576041666666665,23.0
2018,POINT (1000244.3227632014 239109.3025310786),WEST 145 STREET,Frederick Douglass Boulevard,Bradhurst Avenue,93.61383928571429,100.0
2018,POINT (1000320.8002310654 232215.14635656108),MADISON AVENUE,East 122 Street,East 123 Street,137.96759259259258,156.5
2018,POINT (1000628.8102474436 241913.28190394831),WEST 155 STREET,Edgecombe Avenue,8 Avenue Line,105.80092592592592,119.0
2018,POINT (1000658.1957127558 247113.60125065214),FT WASHINGTON AVENUE,West 172 Street,West 173 Street,37.49100378787879,37.0
2018,POINT (1000699.5954033047 238856.7141033704),WEST 145 STREET,Adam C Powell Boulevard,Frederick Douglass Boulevard,96.10267857142857,104.0
2018,POINT (1000996.8699268594 238691.6349542571),WEST 145 STREET,Adam C Powell Boulevard,Frederick Douglass Boulevard,96.33035714285714,102.0
2018,POINT (1001087.029976143 245331.74467825014),WEST 167 STREET,Audubon Avenue,8 Avenue Line,8.97275641025641,8.0
2018,POINT (1001502.8216583005 247568.38763738537),WADSWORTH AVENUE,West 175 Street,West 176 Street,15.830439814814815,13.0
2018,POINT (1001547.9862517819 244985.60240547513),AMSTERDAM AVENUE,West 166 Street,West 167 Street,52.810496794871796,49.0
2018,POINT (1002022.613133652 248088.9549984399),WEST 178 STREET,Broadway/ 7 Avenue Line,Wadsworth Avenue,82.61458333333333,88.0
2018,POINT (1002070.7836154553 240358.79995753572),ADAM C POWELL BOULEVARD,Dead End,Dead end,10.177083333333334,7.0
2018,POINT (1002183.0976407493 248307.72277312784),WEST 179 STREET,Broadway/ 7 Avenue Line,Wadsworth Avenue,54.06534090909091,57.0
2018,POINT (1002304.7985901776 248538.39780088648),WEST 180 STREET,Broadway/ 7 Avenue Line,Wadsworth Avenue,32.83712121212121,33.0
2018,POINT (1002563.6992227704 240983.67301294883),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,148.60027192386133,155.0
2018,POINT (1002753.1309492 235875.86930702193),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,210.76663201663203,229.0
2018,POINT (1002758.4712266581 235908.99147427373),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,189.42411642411642,205.0
2018,POINT (1002839.0943176756 237849.6336393494),145 STREET BRIDGE,Dead End,Harlem River Shoreline,146.5090159711489,155.0
2018,POINT (1002943.7524868402 230749.55652219997),1 AVENUE,Dead End,Dead end,267.2951388888889,284.5
2018,POINT (1003181.607294511 250597.41717953703),WADSWORTH AVENUE,West 188 Street,West 189 Street,21.70659722222222,20.0
2018,POINT (1003879.4003926999 231993.45541687228),WILLIS AVENUE BRIDGE,Harlem River Drive Exit 18 Nb,Harlem River Shoreline,343.71591794339133,330.0
2018,POINT (1004009.9376747445 247299.3322981837),ALEXANDER HAMILTON BRIDGE,Dead End,Harlem River Shoreline,816.1674107142857,840.0
2018,POINT (1004021.9978427979 247356.44157370654),ALEXANDER HAMILTON BRIDGE,Dead End,Harlem River Shoreline,870.0706845238095,945.5
2018,POINT (1004170.6634530823 247782.7882331651),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,298.87127976190476,340.0
2018,POINT (1004190.1233740989 247816.61094514112),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,359.6138392857143,383.0
