,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
15601931,21198,Queens,2015,10,29,3,15,4,62193,POINT (1055204.6845146813 160120.54963350898),EMPIRE AVENUE,Sage Street,Balsam Court,EB
13207259,20218,Bronx,2015,4,20,1,15,8,116494,POINT (1016791.6351335181 261082.23572566232),WEST GUN HILL ROAD,Dead end,Knox Place,EB
20522683,26140,Brooklyn,2017,6,16,10,15,88,26554,POINT (990864.744688826 167209.6712006502),MC DONALD AVENUE,20 Avenue,Avenue J,NB
13284432,20451,Queens,2015,5,18,6,30,32,193887,POINT (1000339.0741818828 208482.65916709095),BORDEN AVENUE,Borden Avenue Bridge,Review Avenue,EB
23212585,29051,Queens,2018,10,4,4,30,17,67174,POINT (1000139.0896824674 216796.2918891169),VERNON BOULEVARD,36 Avenue,37 Avenue,NB
11392450,17391,Brooklyn,2014,10,5,19,0,16,149971,POINT (996948.8 183479.7),EASTERN PKWY,BEDFORD AV,ROGERS AV,WB
4345250,10418,Brooklyn,2012,10,19,3,30,1,109827,POINT (989958.3 189357.5),SCHERMERHORN ST,LAFAYETTE AV/3 AV,FLATBUSH AV,EB
14449705,20911,Bronx,2015,6,26,6,0,31,78706,POINT (1013163.0562312215 249556.06107863534),WASHINGTON AVENUE,East 181 Street,East 180 Street,SB
25864984,31027,Bronx,2019,11,8,13,0,42,93887,POINT (1037171.1936771263 236656.61087203043),PENNYFIELD AVENUE,Mullen Place,Harding Avenue,SB
6563549,14292,Queens,2013,4,23,0,0,7,130632,POINT (1017461 216873.5),30 AV,89 ST,88 ST,EB
1687662,3213,Brooklyn,2009,3,12,17,30,52,25979,POINT (996340.3 156659.7),W/B AVE V @ E 4 ST,E 14 ST,E 15 ST,WB
16000319,21145,Queens,2016,1,15,19,45,213,98354,POINT (1048221.8681525097 216363.98458349967),NORTHERN BOULEVARD,Bell Boulevard,214 Place,WB
16087655,22880,Bronx,2016,3,6,18,30,76,89462,POINT (1026921.5029404493 263447.80866953114),EAST 233 STREET,Ely Avenue,Laconia Avenue,WB
19931175,25883,Brooklyn,2017,5,18,9,45,34,45945,POINT (1010803.545324853 163289.87747316243),EAST 69 STREET,Avenue X,Avenue W,SB
14536037,18078,Bronx,2014,9,14,14,0,929,9008891,POINT (1032694.3559050388 254399.99612312028),HUTCHINSON RIVER PARKWAY,Dead End,Dead end,NB
16716945,23376,Brooklyn,2016,6,2,4,30,18,44527,POINT (1003305.4285498414 192164.84128743786),MALCOLM X BOULEVARD,Dekalb Avenue,Pulaski Street,NB
16626872,23628,Brooklyn,2016,5,31,15,45,62,219793,POINT (1018229.6276650707 179157.61103651713),COZINE AVENUE,Dead end,Ashford Street,WB
